rank,token,frequency,relative_frequency_per_1000_tokens
1,h1,16,5.394471
2,h3,12,4.045853
3,好玩,8,2.697235
4,退出重进,8,2.697235
5,盐与献祭,5,1.685772
6,system,5,1.685772
7,windows,5,1.685772
8,挺好玩的,5,1.685772
9,forms,4,1.348618
10,spoiler,4,1.348618
11,quote,4,1.348618
12,strike,4,1.348618
13,good,4,1.348618
14,能玩,4,1.348618
15,tr,4,1.348618
16,th,4,1.348618
17,还不错,3,1.011463
18,eventargs,3,1.011463
19,form,3,1.011463
20,法师狩猎,3,1.011463
21,但是,3,1.011463
22,总之,2,0.674309
23,and,2,0.674309
24,当然,2,0.674309
25,可以一玩,2,0.674309
26,framework,2,0.674309
27,ondeactivate,2,0.674309
28,message,2,0.674309
29,还行,2,0.674309
30,盐神,2,0.674309
31,虽然不如一代,2,0.674309
32,只狼,2,0.674309
33,爱玩,2,0.674309
34,make,2,0.674309
35,game,2,0.674309
36,plz,2,0.674309
37,地图设计,2,0.674309
38,伤害还高,2,0.674309
39,ps,2,0.674309
40,快速武器,2,0.674309
41,还可以,2,0.674309
42,首先,2,0.674309
43,最后,2,0.674309
44,记不住,2,0.674309
45,好评,2,0.674309
46,法师,2,0.674309
47,很难受,2,0.674309
48,总结,2,0.674309
49,我想,2,0.674309
50,very,2,0.674309
51,盐和避难所,2,0.674309
52,table,2,0.674309
53,url,2,0.674309
54,on,2,0.674309
55,is,2,0.674309
56,陷阱是看不见的,1,0.337154
57,boss是需要你追的,1,0.337154
58,小怪投技是必吃的,1,0.337154
59,血条是2刀流的,1,0.337154
60,不用远程是会受苦的,1,0.337154
61,棺材板是易碎的,1,0.337154
62,门永远是从另一侧打开的,1,0.337154
63,收集是每个图都给一个能力才能回去探索拿完的,1,0.337154
64,零帧龙车是防不胜防的,1,0.337154
65,如果这些都能接受的话,1,0.337154
66,欢迎品鉴,1,0.337154
67,一款黑魂和怪猎玩家看了都会憋不住的横板跳跃休闲打boss游戏了,1,0.337154
68,5分满分给3分吧,1,0.337154
69,本身刷法师这种高同质化的敌人就很无聊,1,0.337154
70,然后二周目敌人数值膨胀跟盐一一样离谱,1,0.337154
71,一周目随便削boss的满级大刀拿到二周目打第一张图的普通小怪居然要砍两刀,1,0.337154
72,导致玩家无法快速清理杂兵,1,0.337154
73,堆怪问题凸显,1,0.337154
74,逼着玩家打法师攒经验点数值,1,0.337154
75,强化道具也极度依靠刷法师,1,0.337154
76,很多门还规定玩家要打xx个法师才能给你打开,1,0.337154
77,你又不是怪猎能把每个法师都做得很有趣,1,0.337154
78,这遍地乱刷干扰玩家的复制粘贴怪真的打到吐,1,0.337154
79,异常折磨,1,0.337154
80,这种一周目强制玩家体验的机制锁每个周目都要锁一遍太恶心了,1,0.337154
81,等打到长老矮林进了屋子之后,1,0.337154
82,到处是要砍两刀的火球怪,1,0.337154
83,能硬控玩家的飞行椅子怪,1,0.337154
84,要砍四刀才死的高攻兵,1,0.337154
85,外加上随机刷新在地图里招小怪的法师,1,0.337154
86,真的绝了,1,0.337154
87,高周目无任何新内容,1,0.337154
88,本来可以快速推掉的,1,0.337154
89,结果非得挨个砍死路上的怪才能过去,1,0.337154
90,跑酷不了一点,1,0.337154
91,一跑随时被远程吸回椅子围殴,1,0.337154
92,打吐了,1,0.337154
93,只适合稍微体验下,1,0.337154
94,多周目玩得非常无聊且难受,1,0.337154
95,很有意思,1,0.337154
96,法爷搁这里面还是法爷,1,0.337154
97,salt,1,0.337154
98,sacrifice,1,0.337154
99,和好友jylx联机打完了成就,1,0.337154
100,盐1在我心目中,1,0.337154
101,是仅次于hollow,1,0.337154
102,knight的存在,1,0.337154
103,盐2作出了很多大胆的尝试,1,0.337154
104,最显著的是,1,0.337154
105,它实际上是个联机游戏,1,0.337154
106,类型中也是把,1,0.337154
107,在线合作,1,0.337154
108,放在第一位,1,0.337154
109,联机导致游戏难度大大降低,1,0.337154
110,两人一左一右开弓,1,0.337154
111,能对任何怪无限削韧,1,0.337154
112,打大部分boss也是信手拈来,1,0.337154
113,不过怪物都是人均疯狗,1,0.337154
114,明显看出不是单机玩家能够应付的,1,0.337154
115,很多怪还会击飞玩家,1,0.337154
116,例如好友被击飞到墙下后,1,0.337154
117,费了半天劲爬上来,1,0.337154
118,结果又被击飞下去,1,0.337154
119,或者两人站在悬崖边,1,0.337154
120,忽然被霸王龙从后边双双顶飞下去,1,0.337154
121,这霸王龙的肤色跟背景接近,1,0.337154
122,所以很多时候很难看清它,1,0.337154
123,或者跑图时,1,0.337154
124,一个不注意被陷阱击飞到遥远的远方,1,0.337154
125,大概因为这些缘故,1,0.337154
126,本作的坠落伤害非常低,1,0.337154
127,整个联机过程可以说非常欢乐,1,0.337154
128,大量重复的狩猎,1,0.337154
129,也让人有些疲劳,1,0.337154
130,而二代在美术风格和箱庭设计上,1,0.337154
131,都完全不逊于一代,1,0.337154
132,很多小怪的设计也很有感觉,1,0.337154
133,狩猎,1,0.337154
134,明显是个失败的设计,1,0.337154
135,除却它对单机玩家不友好外,1,0.337154
136,狩猎完的报酬也不尽人意,1,0.337154
137,个人认为起码应该掉精良的武器和装备,1,0.337154
138,这才足以让玩家获得狩猎成功后的成就感,1,0.337154
139,二代在其他不少地方也做了尝试,1,0.337154
140,但个人认为同样都是较为失败的,1,0.337154
141,这里就不一一阐述,1,0.337154
142,如果有制作组想做类银河战士恶魔城类型游戏,1,0.337154
143,那么完全可以把二代当做反面教材,1,0.337154
144,很遗憾它落到了这种地步,1,0.337154
145,注意,1,0.337154
146,如果想一个周目全成就,1,0.337154
147,需要1--在结局前备份存档,1,0.337154
148,2--两个玩家都需在在结局前备份存档,1,0.337154
149,否则其中一个玩家不会跳成就,1,0.337154
150,值得一玩,1,0.337154
151,但是小怪设定太强,1,0.337154
152,多周目可玩性较低,1,0.337154
153,整体不如一代,1,0.337154
154,联机很好玩,1,0.337154
155,便宜,1,0.337154
156,银河城和怪猎的缝合产物,1,0.337154
157,在大地图中追boss刷素材,1,0.337154
158,制作组大概想做一个2d怪猎,1,0.337154
159,可惜boss设计得不是太好,1,0.337154
160,听说联机体验还行,1,0.337154
161,美术和基本动作保留了前作特点,1,0.337154
162,但游戏类型改变让一代玩家们大失所望,1,0.337154
163,然后口碑就起不来了,1,0.337154
164,只要伤害够高玩起来就还行,1,0.337154
165,不过小怪的疯狗位移和法师的复读粪招以及各种阴人陷阱其实体验都不太好,1,0.337154
166,武器搭配我更喜欢前作主副手那样搭配而不是固定栏位,1,0.337154
167,游戏本身是不错的,1,0.337154
168,无缝联机做的非常非常好,1,0.337154
169,地图设计也很有水平,1,0.337154
170,优质的类银,1,0.337154
171,但是boss基本上太简单了,1,0.337154
172,打了没感觉,1,0.337154
173,没有地图很难受,1,0.337154
174,最终boss强制开二周目更是幽默完了,1,0.337154
175,纯逆天设计,1,0.337154
176,一周目通关,1,0.337154
177,中等水平的类银,1,0.337154
178,地图做的很好,1,0.337154
179,有好几张大图,1,0.337154
180,每张大图设计都很好,1,0.337154
181,顶级地图设计,1,0.337154
182,剩下一般,1,0.337154
183,支持无缝联机,1,0.337154
184,但这游戏有一个傻逼设计,1,0.337154
185,通关自动进入二周目,1,0.337154
186,莫名其妙的,1,0.337154
187,这游戏没说的那么烂啊,1,0.337154
188,玩了5个小时没感觉到有什么恶心的点,1,0.337154
189,还是说刚发售时的痛点都改了,1,0.337154
190,反正空中无限连是看不到了,1,0.337154
191,跑图和打怪手感跟一代盐于避难所简直一样,1,0.337154
192,感觉就是换了一种模式的1代,1,0.337154
