token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
the,22,7,23.036649,2.493766,20.542884,3.207533
in,14,3,14.659686,1.068757,13.590929,3.777849
and,22,28,23.036649,9.975062,13.061587,1.207533
to,13,4,13.612565,1.425009,12.187557,3.255896
that,11,0,11.518325,0.0,11.518325,33.423212
it,11,3,11.518325,1.068757,10.449568,3.429926
is,11,4,11.518325,1.425009,10.093316,3.014888
of,10,5,10.471204,1.781261,8.689943,2.555456
salt,16,31,16.753927,11.043819,5.710108,0.60126
sanctuary,13,23,13.612565,8.193801,5.418764,0.732334
if,6,3,6.282723,1.068757,5.213966,2.555456
for,5,1,5.235602,0.356252,4.87935,3.877385
enemies,4,0,4.188482,0.0,4.188482,31.96378
have,4,0,4.188482,0.0,4.188482,31.96378
verdad,5,3,5.235602,1.068757,4.166845,2.292422
malo,4,2,4.188482,0.712504,3.475977,2.555456
mapa,5,5,5.235602,1.781261,3.454341,1.555456
armadura,3,0,3.141361,0.0,3.141361,31.548743
be,3,0,3.141361,0.0,3.141361,31.548743
can,3,0,3.141361,0.0,3.141361,31.548743
even,3,0,3.141361,0.0,3.141361,31.548743
fights,3,0,3.141361,0.0,3.141361,31.548743
games,3,0,3.141361,0.0,3.141361,31.548743
jugando,3,0,3.141361,0.0,3.141361,31.548743
map,3,0,3.141361,0.0,3.141361,31.548743
more,3,0,3.141361,0.0,3.141361,31.548743
mucha,3,0,3.141361,0.0,3.141361,31.548743
there,3,0,3.141361,0.0,3.141361,31.548743
but,4,3,4.188482,1.068757,3.119725,1.970494
están,4,3,4.188482,1.068757,3.119725,1.970494
game,5,6,5.235602,2.137513,3.098089,1.292422
not,3,1,3.141361,0.356252,2.785109,3.140419
than,3,1,3.141361,0.356252,2.785109,3.140419
which,3,1,3.141361,0.356252,2.785109,3.140419
you,5,7,5.235602,2.493766,2.741837,1.07003
nuevo,3,2,3.141361,0.712504,2.428857,2.140419
peor,3,2,3.141361,0.712504,2.428857,2.140419
reseña,3,2,3.141361,0.712504,2.428857,2.140419
todos,3,2,3.141361,0.712504,2.428857,2.140419
mismo,4,5,4.188482,1.781261,2.407221,1.233528
aca,2,0,2.094241,0.0,2.094241,30.96378
any,2,0,2.094241,0.0,2.094241,30.96378
aún,2,0,2.094241,0.0,2.094241,30.96378
bajo,2,0,2.094241,0.0,2.094241,30.96378
combinaciones,2,0,2.094241,0.0,2.094241,30.96378
difficulty,2,0,2.094241,0.0,2.094241,30.96378
encontré,2,0,2.094241,0.0,2.094241,30.96378
falls,2,0,2.094241,0.0,2.094241,30.96378
hubiera,2,0,2.094241,0.0,2.094241,30.96378
its,2,0,2.094241,0.0,2.094241,30.96378
little,2,0,2.094241,0.0,2.094241,30.96378
mayor,2,0,2.094241,0.0,2.094241,30.96378
mecanica,2,0,2.094241,0.0,2.094241,30.96378
motivo,2,0,2.094241,0.0,2.094241,30.96378
much,2,0,2.094241,0.0,2.094241,30.96378
my,2,0,2.094241,0.0,2.094241,30.96378
negativa,2,0,2.094241,0.0,2.094241,30.96378
nothing,2,0,2.094241,0.0,2.094241,30.96378
oportunidad,2,0,2.094241,0.0,2.094241,30.96378
out,2,0,2.094241,0.0,2.094241,30.96378
pelota,2,0,2.094241,0.0,2.094241,30.96378
peores,2,0,2.094241,0.0,2.094241,30.96378
pesada,2,0,2.094241,0.0,2.094241,30.96378
poise,2,0,2.094241,0.0,2.094241,30.96378
preferido,2,0,2.094241,0.0,2.094241,30.96378
quite,2,0,2.094241,0.0,2.094241,30.96378
run,2,0,2.094241,0.0,2.094241,30.96378
same,2,0,2.094241,0.0,2.094241,30.96378
send,2,0,2.094241,0.0,2.094241,30.96378
short,2,0,2.094241,0.0,2.094241,30.96378
tedioso,2,0,2.094241,0.0,2.094241,30.96378
their,2,0,2.094241,0.0,2.094241,30.96378
these,2,0,2.094241,0.0,2.094241,30.96378
they,2,0,2.094241,0.0,2.094241,30.96378
vertical,2,0,2.094241,0.0,2.094241,30.96378
when,2,0,2.094241,0.0,2.094241,30.96378
would,2,0,2.094241,0.0,2.094241,30.96378
are,3,3,3.141361,1.068757,2.072605,1.555456
mal,3,3,3.141361,1.068757,2.072605,1.555456
nada,3,3,3.141361,1.068757,2.072605,1.555456
new,3,3,3.141361,1.068757,2.072605,1.555456
one,3,3,3.141361,1.068757,2.072605,1.555456
tambien,3,3,3.141361,1.068757,2.072605,1.555456
this,3,3,3.141361,1.068757,2.072605,1.555456
decent,2,1,2.094241,0.356252,1.737989,2.555456
entiendo,2,1,2.094241,0.356252,1.737989,2.555456
found,2,1,2.094241,0.356252,1.737989,2.555456
frustrating,2,1,2.094241,0.356252,1.737989,2.555456
había,2,1,2.094241,0.356252,1.737989,2.555456
literalmente,2,1,2.094241,0.356252,1.737989,2.555456
muchisimo,2,1,2.094241,0.356252,1.737989,2.555456
or,2,1,2.094241,0.356252,1.737989,2.555456
peleas,2,1,2.094241,0.356252,1.737989,2.555456
with,2,1,2.094241,0.356252,1.737989,2.555456
creo,3,4,3.141361,1.425009,1.716352,1.140419
porque,4,7,4.188482,2.493766,1.694716,0.748102
ataques,2,2,2.094241,0.712504,1.381736,1.555456
cosa,2,2,2.094241,0.712504,1.381736,1.555456
epic,2,2,2.094241,0.712504,1.381736,1.555456
esperaba,2,2,2.094241,0.712504,1.381736,1.555456
gameplay,2,2,2.094241,0.712504,1.381736,1.555456
punto,2,2,2.094241,0.712504,1.381736,1.555456
tiempo,2,2,2.094241,0.712504,1.381736,1.555456
varios,2,2,2.094241,0.712504,1.381736,1.555456
jefes,3,5,3.141361,1.781261,1.3601,0.818491
veces,3,5,3.141361,1.781261,1.3601,0.818491
cuando,5,11,5.235602,3.918774,1.316828,0.417953
sacrifice,5,11,5.235602,3.918774,1.316828,0.417953
5-6,1,0,1.04712,0.0,1.04712,29.96378
absolutely,1,0,1.04712,0.0,1.04712,29.96378
acabaré,1,0,1.04712,0.0,1.04712,29.96378
acorralas,1,0,1.04712,0.0,1.04712,29.96378
addition,1,0,1.04712,0.0,1.04712,29.96378
adpotado,1,0,1.04712,0.0,1.04712,29.96378
agradó,1,0,1.04712,0.0,1.04712,29.96378
aire,1,0,1.04712,0.0,1.04712,29.96378
algun,1,0,1.04712,0.0,1.04712,29.96378
alguna,1,0,1.04712,0.0,1.04712,29.96378
all,1,0,1.04712,0.0,1.04712,29.96378
allá,1,0,1.04712,0.0,1.04712,29.96378
almost,1,0,1.04712,0.0,1.04712,29.96378
also,1,0,1.04712,0.0,1.04712,29.96378
always,1,0,1.04712,0.0,1.04712,29.96378
amaba,1,0,1.04712,0.0,1.04712,29.96378
an,1,0,1.04712,0.0,1.04712,29.96378
ansias,1,0,1.04712,0.0,1.04712,29.96378
anuncio,1,0,1.04712,0.0,1.04712,29.96378
aplomo,1,0,1.04712,0.0,1.04712,29.96378
as,1,0,1.04712,0.0,1.04712,29.96378
at,1,0,1.04712,0.0,1.04712,29.96378
attack,1,0,1.04712,0.0,1.04712,29.96378
audiencia,1,0,1.04712,0.0,1.04712,29.96378
back,1,0,1.04712,0.0,1.04712,29.96378
bad,1,0,1.04712,0.0,1.04712,29.96378
best,1,0,1.04712,0.0,1.04712,29.96378
bichos,1,0,1.04712,0.0,1.04712,29.96378
boast,1,0,1.04712,0.0,1.04712,29.96378
buenas,1,0,1.04712,0.0,1.04712,29.96378
