token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
magos,28,4,9.975062,4.188482,5.786581,1.251898
bueno,17,1,6.056288,1.04712,5.009167,2.532006
tiene,20,3,7.125045,3.141361,3.983683,1.181509
bien,14,1,4.987531,1.04712,3.940411,2.251898
bastante,11,0,3.918774,0.0,3.918774,31.867755
historia,11,0,3.918774,0.0,3.918774,31.867755
este,28,6,9.975062,6.282723,3.69234,0.666936
puede,13,1,4.631279,1.04712,3.584159,2.144983
aquí,10,0,3.562522,0.0,3.562522,31.730252
qué,10,0,3.562522,0.0,3.562522,31.730252
también,10,0,3.562522,0.0,3.562522,31.730252
hay,12,1,4.275027,1.04712,3.227906,2.029506
aunque,9,0,3.20627,0.0,3.20627,31.578249
parte,9,0,3.20627,0.0,3.20627,31.578249
vas,9,0,3.20627,0.0,3.20627,31.578249
mucho,17,3,6.056288,3.141361,2.914927,0.947044
jugar,8,0,2.850018,0.0,2.850018,31.408324
mundo,8,0,2.850018,0.0,2.850018,31.408324
nivel,8,0,2.850018,0.0,2.850018,31.408324
poco,8,0,2.850018,0.0,2.850018,31.408324
solo,8,0,2.850018,0.0,2.850018,31.408324
souls,8,0,2.850018,0.0,2.850018,31.408324
algo,10,1,3.562522,1.04712,2.515402,1.766472
buen,10,1,3.562522,1.04712,2.515402,1.766472
entre,7,0,2.493766,0.0,2.493766,31.215679
ese,7,0,2.493766,0.0,2.493766,31.215679
poder,7,0,2.493766,0.0,2.493766,31.215679
podremos,7,0,2.493766,0.0,2.493766,31.215679
tienes,7,0,2.493766,0.0,2.493766,31.215679
eso,12,2,4.275027,2.094241,2.180786,1.029506
donde,9,1,3.20627,1.04712,2.15915,1.614469
mejor,9,1,3.20627,1.04712,2.15915,1.614469
siendo,9,1,3.20627,1.04712,2.15915,1.614469
dark,6,0,2.137513,0.0,2.137513,30.993286
estos,6,0,2.137513,0.0,2.137513,30.993286
grandes,6,0,2.137513,0.0,2.137513,30.993286
hecho,6,0,2.137513,0.0,2.137513,30.993286
jugabilidad,6,0,2.137513,0.0,2.137513,30.993286
muchas,6,0,2.137513,0.0,2.137513,30.993286
secuela,6,0,2.137513,0.0,2.137513,30.993286
sólo,6,0,2.137513,0.0,2.137513,30.993286
acá,8,1,2.850018,1.04712,1.802897,1.444544
recomiendo,8,1,2.850018,1.04712,1.802897,1.444544
zonas,8,1,2.850018,1.04712,1.802897,1.444544
cual,5,0,1.781261,0.0,1.781261,30.730252
diseño,5,0,1.781261,0.0,1.781261,30.730252
divertido,5,0,1.781261,0.0,1.781261,30.730252
equipo,5,0,1.781261,0.0,1.781261,30.730252
estar,5,0,1.781261,0.0,1.781261,30.730252
otro,5,0,1.781261,0.0,1.781261,30.730252
puedo,5,0,1.781261,0.0,1.781261,30.730252
quizás,5,0,1.781261,0.0,1.781261,30.730252
sobre,5,0,1.781261,0.0,1.781261,30.730252
ta,5,0,1.781261,0.0,1.781261,30.730252
tan,5,0,1.781261,0.0,1.781261,30.730252
variedad,5,0,1.781261,0.0,1.781261,30.730252
entrega,10,2,3.562522,2.094241,1.468281,0.766472
sistema,7,1,2.493766,1.04712,1.446645,1.251898
tanto,7,1,2.493766,1.04712,1.446645,1.251898
tienen,7,1,2.493766,1.04712,1.446645,1.251898
2d,4,0,1.425009,0.0,1.425009,30.408324
además,4,0,1.425009,0.0,1.425009,30.408324
ahí,4,0,1.425009,0.0,1.425009,30.408324
decir,4,0,1.425009,0.0,1.425009,30.408324
derrotar,4,0,1.425009,0.0,1.425009,30.408324
diferente,4,0,1.425009,0.0,1.425009,30.408324
dos,4,0,1.425009,0.0,1.425009,30.408324
embargo,4,0,1.425009,0.0,1.425009,30.408324
encima,4,0,1.425009,0.0,1.425009,30.408324
escenarios,4,0,1.425009,0.0,1.425009,30.408324
fácil,4,0,1.425009,0.0,1.425009,30.408324
interesante,4,0,1.425009,0.0,1.425009,30.408324
luego,4,0,1.425009,0.0,1.425009,30.408324
mando,4,0,1.425009,0.0,1.425009,30.408324
mejorar,4,0,1.425009,0.0,1.425009,30.408324
otros,4,0,1.425009,0.0,1.425009,30.408324
par,4,0,1.425009,0.0,1.425009,30.408324
parecido,4,0,1.425009,0.0,1.425009,30.408324
pues,4,0,1.425009,0.0,1.425009,30.408324
puntos,4,0,1.425009,0.0,1.425009,30.408324
respecto,4,0,1.425009,0.0,1.425009,30.408324
resulta,4,0,1.425009,0.0,1.425009,30.408324
sal,4,0,1.425009,0.0,1.425009,30.408324
santuario,4,0,1.425009,0.0,1.425009,30.408324
segunda,4,0,1.425009,0.0,1.425009,30.408324
sensación,4,0,1.425009,0.0,1.425009,30.408324
tema,4,0,1.425009,0.0,1.425009,30.408324
título,4,0,1.425009,0.0,1.425009,30.408324
uno,4,0,1.425009,0.0,1.425009,30.408324
esta,18,5,6.41254,5.235602,1.176938,0.29254
lore,6,1,2.137513,1.04712,1.090393,1.029506
otra,6,1,2.137513,1.04712,1.090393,1.029506
tener,6,1,2.137513,1.04712,1.090393,1.029506
zona,6,1,2.137513,1.04712,1.090393,1.029506
algunos,3,0,1.068757,0.0,1.068757,29.993286
backtracking,3,0,1.068757,0.0,1.068757,29.993286
batalla,3,0,1.068757,0.0,1.068757,29.993286
bla,3,0,1.068757,0.0,1.068757,29.993286
boses,3,0,1.068757,0.0,1.068757,29.993286
cambio,3,0,1.068757,0.0,1.068757,29.993286
campamento,3,0,1.068757,0.0,1.068757,29.993286
caso,3,0,1.068757,0.0,1.068757,29.993286
ciertas,3,0,1.068757,0.0,1.068757,29.993286
com,3,0,1.068757,0.0,1.068757,29.993286
cuenta,3,0,1.068757,0.0,1.068757,29.993286
cómo,3,0,1.068757,0.0,1.068757,29.993286
diferentes,3,0,1.068757,0.0,1.068757,29.993286
dificil,3,0,1.068757,0.0,1.068757,29.993286
dije,3,0,1.068757,0.0,1.068757,29.993286
dios,3,0,1.068757,0.0,1.068757,29.993286
elementos,3,0,1.068757,0.0,1.068757,29.993286
encontrar,3,0,1.068757,0.0,1.068757,29.993286
enemigo,3,0,1.068757,0.0,1.068757,29.993286
estética,3,0,1.068757,0.0,1.068757,29.993286
excelente,3,0,1.068757,0.0,1.068757,29.993286
experiencia,3,0,1.068757,0.0,1.068757,29.993286
gran,3,0,1.068757,0.0,1.068757,29.993286
https,3,0,1.068757,0.0,1.068757,29.993286
inferior,3,0,1.068757,0.0,1.068757,29.993286
it's,3,0,1.068757,0.0,1.068757,29.993286
juegardo,3,0,1.068757,0.0,1.068757,29.993286
juegazo,3,0,1.068757,0.0,1.068757,29.993286
locura,3,0,1.068757,0.0,1.068757,29.993286
mecánica,3,0,1.068757,0.0,1.068757,29.993286
mecánicas,3,0,1.068757,0.0,1.068757,29.993286
mejores,3,0,1.068757,0.0,1.068757,29.993286
modo,3,0,1.068757,0.0,1.068757,29.993286
nombre,3,0,1.068757,0.0,1.068757,29.993286
novedades,3,0,1.068757,0.0,1.068757,29.993286
nuestro,3,0,1.068757,0.0,1.068757,29.993286
partidas,3,0,1.068757,0.0,1.068757,29.993286
pasar,3,0,1.068757,0.0,1.068757,29.993286
pasó,3,0,1.068757,0.0,1.068757,29.993286
permiten,3,0,1.068757,0.0,1.068757,29.993286
piezas,3,0,1.068757,0.0,1.068757,29.993286
pocos,3,0,1.068757,0.0,1.068757,29.993286
puertas,3,0,1.068757,0.0,1.068757,29.993286
realidad,3,0,1.068757,0.0,1.068757,29.993286
recorrer,3,0,1.068757,0.0,1.068757,29.993286
regresar,3,0,1.068757,0.0,1.068757,29.993286
servir,3,0,1.068757,0.0,1.068757,29.993286
sigue,3,0,1.068757,0.0,1.068757,29.993286
subir,3,0,1.068757,0.0,1.068757,29.993286
tal,3,0,1.068757,0.0,1.068757,29.993286
va,3,0,1.068757,0.0,1.068757,29.993286
vida,3,0,1.068757,0.0,1.068757,29.993286
bosses,11,3,3.918774,3.141361,0.777413,0.319013
antes,5,1,1.781261,1.04712,0.734141,0.766472
aun,5,1,1.781261,1.04712,0.734141,0.766472
buena,5,1,1.781261,1.04712,0.734141,0.766472
era,5,1,1.781261,1.04712,0.734141,0.766472
hacer,5,1,1.781261,1.04712,0.734141,0.766472
mago,5,1,1.781261,1.04712,0.734141,0.766472
muchos,5,1,1.781261,1.04712,0.734141,0.766472
sentido,5,1,1.781261,1.04712,0.734141,0.766472
suerte,5,1,1.781261,1.04712,0.734141,0.766472
absolutor,2,0,0.712504,0.0,0.712504,29.408324
aburrir,2,0,0.712504,0.0,0.712504,29.408324
acceder,2,0,0.712504,0.0,0.712504,29.408324
ahora,2,0,0.712504,0.0,0.712504,29.408324
algunas,2,0,0.712504,0.0,0.712504,29.408324
alto,2,0,0.712504,0.0,0.712504,29.408324
aparecen,2,0,0.712504,0.0,0.712504,29.408324
aquellas,2,0,0.712504,0.0,0.712504,29.408324
aspectos,2,0,0.712504,0.0,0.712504,29.408324
atacarlos,2,0,0.712504,0.0,0.712504,29.408324
atajos,2,0,0.712504,0.0,0.712504,29.408324
