rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt and,16,16.949153
2,and sanctuary,11,11.652542
3,and sacrifice,5,5.29661
4,of the,4,4.237288
5,in the,3,3.177966
6,the map,3,3.177966
7,the enemies,3,3.177966
8,todo mapa,2,2.118644
9,primera entrega,2,2.118644
10,hubiera preferido,2,2.118644
11,esta reseña,2,2.118644
12,reseña negativa,2,2.118644
13,monster hunter,2,2.118644
14,cazar magos,2,2.118644
15,varios jefes,2,2.118644
16,casi todos,2,2.118644
17,armadura pesada,2,2.118644
18,this game,2,2.118644
19,to salt,2,2.118644
20,the same,2,2.118644
21,to be,2,2.118644
22,falls short,2,2.118644
23,boss fights,2,2.118644
24,more than,2,2.118644
25,send you,2,2.118644
26,which is,2,2.118644
27,is that,2,2.118644
28,is decent,2,2.118644
29,out of,2,2.118644
30,entiendo este,1,1.059322
31,este intenta,1,1.059322
32,intenta cosas,1,1.059322
33,cosas vez,1,1.059322
34,vez falla,1,1.059322
35,falla estrepitosamente,1,1.059322
36,estrepitosamente todas,1,1.059322
37,todas repetitivo,1,1.059322
38,repetitivo tedioso,1,1.059322
39,tedioso torpe,1,1.059322
40,torpe algún,1,1.059322
41,algún motivo,1,1.059322
42,motivo siente,1,1.059322
43,siente peor,1,1.059322
44,peor sanctuary,1,1.059322
45,sanctuary vayamos,1,1.059322
46,vayamos partes,1,1.059322
47,partes bosses,1,1.059322
48,bosses creo,1,1.059322
49,creo peores,1,1.059322
50,peores cosas,1,1.059322
51,cosas sino,1,1.059322
52,sino peor,1,1.059322
53,peor entiendo,1,1.059322
54,entiendo gracia,1,1.059322
55,gracia pelearte,1,1.059322
56,pelearte veces,1,1.059322
57,veces mismo,1,1.059322
58,mismo tío,1,1.059322
59,tío aun,1,1.059322
60,aun después,1,1.059322
61,después eso,1,1.059322
62,eso ir,1,1.059322
63,ir buscandolo,1,1.059322
64,buscandolo todo,1,1.059322
65,mapa siendo,1,1.059322
66,siendo este,1,1.059322
67,este vertical,1,1.059322
68,vertical vertiginoso,1,1.059322
69,vertiginoso horrible,1,1.059322
70,horrible hablemos,1,1.059322
71,hablemos cuando,1,1.059322
72,cuando cuelan,1,1.059322
73,cuelan magos,1,1.059322
74,magos vez,1,1.059322
75,vez buena,1,1.059322
76,buena suerte,1,1.059322
77,suerte enemigos,1,1.059322
78,enemigos nuevo,1,1.059322
79,nuevo peor,1,1.059322
80,peor hasta,1,1.059322
81,hasta minion,1,1.059322
82,minion mas,1,1.059322
83,mas pequeño,1,1.059322
84,pequeño capaz,1,1.059322
85,capaz mandarte,1,1.059322
86,mandarte cancún,1,1.059322
87,cancún macoco,1,1.059322
88,macoco da,1,1.059322
89,da igual,1,1.059322
90,igual armadura,1,1.059322
91,armadura poise,1,1.059322
92,poise tengas,1,1.059322
93,tengas peleas,1,1.059322
94,peleas sienten,1,1.059322
95,sienten partido,1,1.059322
96,partido tenis,1,1.059322
97,tenis donde,1,1.059322
98,donde eres,1,1.059322
99,eres pelota,1,1.059322
100,pelota mobs,1,1.059322
