rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt and,40,10.831302
2,and sanctuary,23,6.227999
3,and sacrifice,13,3.520173
4,monster hunter,6,1.624695
5,dark souls,6,1.624695
6,salt sanctuary,6,1.624695
7,of the,5,1.353913
8,cazar magos,5,1.353913
9,in the,4,1.08313
10,this game,4,1.08313
11,if you,4,1.08313
12,todo mapa,4,1.08313
13,primera entrega,4,1.08313
14,mismos magos,3,0.812348
15,esta bien,3,0.812348
16,sigue siendo,3,0.812348
17,which is,3,0.812348
18,esta reseña,3,0.812348
19,the map,3,0.812348
20,the enemies,3,0.812348
21,dios nombre,3,0.812348
22,subir nivel,3,0.812348
23,está bien,2,0.541565
24,acá tienen,2,0.541565
25,gustó mucho,2,0.541565
26,valle absolutor,2,0.541565
27,good game,2,0.541565
28,sanctuary the,2,0.541565
29,the game,2,0.541565
30,bosses are,2,0.541565
31,kill you,2,0.541565
32,in one,2,0.541565
33,one of,2,0.541565
34,game is,2,0.541565
35,you are,2,0.541565
36,design is,2,0.541565
37,you liked,2,0.541565
38,game if,2,0.541565
39,going to,2,0.541565
40,magos vez,2,0.541565
41,vez cuando,2,0.541565
42,hubiera preferido,2,0.541565
43,sea este,2,0.541565
44,reseña negativa,2,0.541565
45,magos tiene,2,0.541565
46,primera parte,2,0.541565
47,and santuary,2,0.541565
48,tal vez,2,0.541565
49,hay muchas,2,0.541565
50,primer salt,2,0.541565
51,parte tema,2,0.541565
52,bastante repetitivo,2,0.541565
53,ta bueno,2,0.541565
54,varios jefes,2,0.541565
55,casi todos,2,0.541565
56,podia ir,2,0.541565
57,armadura pesada,2,0.541565
58,souls 2d,2,0.541565
59,recuerdo salt,2,0.541565
60,ta piola,2,0.541565
61,diseños personajes,2,0.541565
62,jugar mando,2,0.541565
63,bueno recomiendo,2,0.541565
64,aun mas,2,0.541565
65,otro lado,2,0.541565
66,entre dos,2,0.541565
67,primer entrega,2,0.541565
68,to salt,2,0.541565
69,the same,2,0.541565
70,to be,2,0.541565
71,falls short,2,0.541565
72,boss fights,2,0.541565
73,more than,2,0.541565
74,send you,2,0.541565
75,is that,2,0.541565
76,the first,2,0.541565
77,is decent,2,0.541565
78,out of,2,0.541565
79,entrega anterior,2,0.541565
80,cuenta historia,2,0.541565
81,tiene qué,2,0.541565
82,cual puede,2,0.541565
83,tienen sentido,2,0.541565
84,siguen siendo,2,0.541565
85,esta segunda,2,0.541565
86,segunda entrega,2,0.541565
87,bla bla,2,0.541565
88,qué pasó,2,0.541565
89,personaje tiene,2,0.541565
90,paleta colores,2,0.541565
91,sobre todo,2,0.541565
92,combate hay,2,0.541565
93,sistema crafteo,2,0.541565
94,esta secuela,2,0.541565
95,sacrifice bueno,2,0.541565
96,era excelente,2,0.541565
97,aquí sacrifice,2,0.541565
98,obligados recorrer,2,0.541565
99,este modo,2,0.541565
100,ese sentido,2,0.541565
