rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt and,24,8.730447
2,and sanctuary,12,4.365224
3,and sacrifice,8,2.910149
4,dark souls,6,2.182612
5,salt sanctuary,6,2.182612
6,monster hunter,4,1.455075
7,mismos magos,3,1.091306
8,esta bien,3,1.091306
9,sigue siendo,3,1.091306
10,if you,3,1.091306
11,cazar magos,3,1.091306
12,dios nombre,3,1.091306
13,subir nivel,3,1.091306
14,está bien,2,0.727537
15,acá tienen,2,0.727537
16,gustó mucho,2,0.727537
17,valle absolutor,2,0.727537
18,this game,2,0.727537
19,you are,2,0.727537
20,you liked,2,0.727537
21,primera parte,2,0.727537
22,and santuary,2,0.727537
23,tal vez,2,0.727537
24,hay muchas,2,0.727537
25,parte tema,2,0.727537
26,bastante repetitivo,2,0.727537
27,ta bueno,2,0.727537
28,souls 2d,2,0.727537
29,ta piola,2,0.727537
30,jugar mando,2,0.727537
31,bueno recomiendo,2,0.727537
32,aun mas,2,0.727537
33,otro lado,2,0.727537
34,entre dos,2,0.727537
35,todo mapa,2,0.727537
36,primer entrega,2,0.727537
37,entrega anterior,2,0.727537
38,cuenta historia,2,0.727537
39,tiene qué,2,0.727537
40,cual puede,2,0.727537
41,tienen sentido,2,0.727537
42,siguen siendo,2,0.727537
43,esta segunda,2,0.727537
44,segunda entrega,2,0.727537
45,bla bla,2,0.727537
46,primera entrega,2,0.727537
47,qué pasó,2,0.727537
48,personaje tiene,2,0.727537
49,paleta colores,2,0.727537
50,sobre todo,2,0.727537
51,combate hay,2,0.727537
52,esta secuela,2,0.727537
53,sacrifice bueno,2,0.727537
54,era excelente,2,0.727537
55,aquí sacrifice,2,0.727537
56,obligados recorrer,2,0.727537
57,este modo,2,0.727537
58,ese sentido,2,0.727537
59,esta chido,1,0.363769
60,tengo epic,1,0.363769
61,epic tuve,1,0.363769
62,tuve comprar,1,0.363769
63,comprar ahí,1,0.363769
64,ahí momento,1,0.363769
65,momento cuando,1,0.363769
66,cuando salió,1,0.363769
67,salió venta,1,0.363769
68,venta termine,1,0.363769
69,termine ahí,1,0.363769
70,ahí toda,1,0.363769
71,toda campaña,1,0.363769
72,campaña puedo,1,0.363769
73,puedo decir,1,0.363769
74,decir buen,1,0.363769
75,buen esta,1,0.363769
76,esta altura,1,0.363769
77,altura salt,1,0.363769
78,sanctuary bien,1,0.363769
79,bien tiene,1,0.363769
80,tiene algunas,1,0.363769
81,algunas mejoraras,1,0.363769
82,mejoraras multiplayer,1,0.363769
83,multiplayer posee,1,0.363769
84,posee mecánica,1,0.363769
85,mecánica repetitiva,1,0.363769
86,repetitiva cacerías,1,0.363769
87,cacerías magos,1,0.363769
88,magos primeras,1,0.363769
89,primeras veces,1,0.363769
90,veces está,1,0.363769
91,bien pasado,1,0.363769
92,pasado rato,1,0.363769
93,rato empieza,1,0.363769
94,empieza aburrir,1,0.363769
95,aburrir eso,1,0.363769
96,eso quito,1,0.363769
97,quito encuentras,1,0.363769
98,encuentras memorables,1,0.363769
99,memorables bosses,1,0.363769
100,bosses salt,1,0.363769
