rank,token,frequency,relative_frequency_per_1000_tokens
1,and,22,23.036649
2,the,22,23.036649
3,salt,16,16.753927
4,in,14,14.659686
5,sanctuary,13,13.612565
6,to,13,13.612565
7,it,11,11.518325
8,is,11,11.518325
9,that,11,11.518325
10,of,10,10.471204
11,este,6,6.282723
12,if,6,6.282723
13,mapa,5,5.235602
14,cuando,5,5.235602
15,esta,5,5.235602
16,verdad,5,5.235602
17,sacrifice,5,5.235602
18,for,5,5.235602
19,game,5,5.235602
20,you,5,5.235602
21,mismo,4,4.188482
22,magos,4,4.188482
23,están,4,4.188482
24,porque,4,4.188482
25,malo,4,4.188482
26,have,4,4.188482
27,but,4,4.188482
28,enemies,4,4.188482
29,vez,3,3.141361
30,peor,3,3.141361
31,bosses,3,3.141361
32,creo,3,3.141361
33,veces,3,3.141361
34,todo,3,3.141361
35,nuevo,3,3.141361
36,mas,3,3.141361
37,armadura,3,3.141361
38,jugando,3,3.141361
39,mal,3,3.141361
40,mucha,3,3.141361
41,sea,3,3.141361
42,games,3,3.141361
43,reseña,3,3.141361
44,tiene,3,3.141361
45,nada,3,3.141361
46,primer,3,3.141361
47,está,3,3.141361
48,armas,3,3.141361
49,mucho,3,3.141361
50,jefes,3,3.141361
51,todos,3,3.141361
52,tambien,3,3.141361
53,primero,3,3.141361
54,this,3,3.141361
55,not,3,3.141361
56,even,3,3.141361
57,be,3,3.141361
58,boss,3,3.141361
59,fights,3,3.141361
60,are,3,3.141361
61,more,3,3.141361
62,than,3,3.141361
63,which,3,3.141361
64,can,3,3.141361
65,map,3,3.141361
66,there,3,3.141361
67,one,3,3.141361
68,new,3,3.141361
69,entiendo,2,2.094241
70,cosas,2,2.094241
71,tedioso,2,2.094241
72,motivo,2,2.094241
73,peores,2,2.094241
74,eso,2,2.094241
75,ir,2,2.094241
76,vertical,2,2.094241
77,enemigos,2,2.094241
78,hasta,2,2.094241
79,da,2,2.094241
80,poise,2,2.094241
81,peleas,2,2.094241
82,pelota,2,2.094241
83,primera,2,2.094241
84,entrega,2,2.094241
85,idea,2,2.094241
86,gente,2,2.094241
87,metroidvania,2,2.094241
88,hubiera,2,2.094241
89,preferido,2,2.094241
90,aún,2,2.094241
91,epic,2,2.094241
92,negativa,2,2.094241
93,mayor,2,2.094241
94,problema,2,2.094241
95,estilo,2,2.094241
96,literalmente,2,2.094241
97,monster,2,2.094241
98,hunter,2,2.094241
99,anterior,2,2.094241
100,gameplay,2,2.094241
101,cosa,2,2.094241
102,cazar,2,2.094241
103,esperaba,2,2.094241
104,varios,2,2.094241
105,tiempo,2,2.094241
106,casi,2,2.094241
107,ataques,2,2.094241
108,mecanica,2,2.094241
109,muchisimo,2,2.094241
110,combinaciones,2,2.094241
111,aca,2,2.094241
112,pesada,2,2.094241
113,bajo,2,2.094241
114,ni,2,2.094241
115,oportunidad,2,2.094241
116,quite,2,2.094241
117,its,2,2.094241
118,they,2,2.094241
119,same,2,2.094241
120,falls,2,2.094241
121,short,2,2.094241
122,nothing,2,2.094241
123,much,2,2.094241
124,with,2,2.094241
125,little,2,2.094241
126,would,2,2.094241
127,any,2,2.094241
128,or,2,2.094241
129,send,2,2.094241
130,frustrating,2,2.094241
131,found,2,2.094241
132,these,2,2.094241
133,difficulty,2,2.094241
134,when,2,2.094241
135,their,2,2.094241
136,run,2,2.094241
137,my,2,2.094241
138,decent,2,2.094241
139,out,2,2.094241
140,había,2,2.094241
141,punto,2,2.094241
142,encontré,2,2.094241
143,intenta,1,1.04712
144,falla,1,1.04712
145,estrepitosamente,1,1.04712
146,todas,1,1.04712
147,repetitivo,1,1.04712
148,torpe,1,1.04712
149,algún,1,1.04712
150,siente,1,1.04712
151,vayamos,1,1.04712
152,partes,1,1.04712
153,sino,1,1.04712
154,gracia,1,1.04712
155,pelearte,1,1.04712
156,tío,1,1.04712
157,aun,1,1.04712
158,después,1,1.04712
159,buscandolo,1,1.04712
160,siendo,1,1.04712
161,vertiginoso,1,1.04712
162,horrible,1,1.04712
163,hablemos,1,1.04712
164,cuelan,1,1.04712
165,buena,1,1.04712
166,suerte,1,1.04712
167,minion,1,1.04712
168,pequeño,1,1.04712
169,capaz,1,1.04712
170,mandarte,1,1.04712
171,cancún,1,1.04712
172,macoco,1,1.04712
173,igual,1,1.04712
174,tengas,1,1.04712
175,sienten,1,1.04712
176,partido,1,1.04712
177,tenis,1,1.04712
178,donde,1,1.04712
179,eres,1,1.04712
180,mobs,1,1.04712
181,final,1,1.04712
182,wimbledon,1,1.04712
183,genuinamente,1,1.04712
184,insoportable,1,1.04712
185,mapas,1,1.04712
186,tenía,1,1.04712
187,personalidad,1,1.04712
188,demasiado,1,1.04712
189,engatusado,1,1.04712
190,hicieron,1,1.04712
191,repetitivos,1,1.04712
192,incluso,1,1.04712
193,querer,1,1.04712
194,volver,1,1.04712
195,incorporar,1,1.04712
196,gameloop,1,1.04712
197,mata,1,1.04712
198,farmea,1,1.04712
199,mismos,1,1.04712
200,tios,1,1.04712
