rank,token,frequency,relative_frequency_per_1000_tokens
1,and,50,13.290803
2,salt,47,12.493355
3,sanctuary,36,9.569378
4,este,34,9.037746
5,magos,32,8.506114
6,the,29,7.708666
7,esta,23,6.113769
8,tiene,23,6.113769
9,mucho,20,5.316321
10,bueno,18,4.784689
11,in,17,4.518873
12,to,17,4.518873
13,cuando,16,4.253057
14,sacrifice,16,4.253057
15,bien,15,3.987241
16,is,15,3.987241
17,of,15,3.987241
18,eso,14,3.721425
19,bosses,14,3.721425
20,it,14,3.721425
21,puede,14,3.721425
22,hay,13,3.455609
23,you,12,3.189793
24,entrega,12,3.189793
25,buen,11,2.923977
26,está,11,2.923977
27,primer,11,2.923977
28,game,11,2.923977
29,vez,11,2.923977
30,todo,11,2.923977
31,porque,11,2.923977
32,armas,11,2.923977
33,bastante,11,2.923977
34,algo,11,2.923977
35,historia,11,2.923977
36,that,11,2.923977
37,mejor,10,2.658161
38,primero,10,2.658161
39,siendo,10,2.658161
40,también,10,2.658161
41,mas,10,2.658161
42,mapa,10,2.658161
43,donde,10,2.658161
44,sea,10,2.658161
45,boss,10,2.658161
46,qué,10,2.658161
47,aquí,10,2.658161
48,acá,9,2.392344
49,mismo,9,2.392344
50,recomiendo,9,2.392344
51,if,9,2.392344
52,hasta,9,2.392344
53,anterior,9,2.392344
54,parte,9,2.392344
55,aunque,9,2.392344
56,zonas,9,2.392344
57,vas,9,2.392344
58,veces,8,2.126528
59,tienen,8,2.126528
60,poco,8,2.126528
61,jugar,8,2.126528
62,nivel,8,2.126528
63,ir,8,2.126528
64,primera,8,2.126528
65,verdad,8,2.126528
66,cazar,8,2.126528
67,solo,8,2.126528
68,tanto,8,2.126528
69,ni,8,2.126528
70,jefes,8,2.126528
71,souls,8,2.126528
72,mundo,8,2.126528
73,sistema,8,2.126528
74,están,7,1.860712
75,poder,7,1.860712
76,enemigos,7,1.860712
77,otra,7,1.860712
78,tener,7,1.860712
79,but,7,1.860712
80,creo,7,1.860712
81,zona,7,1.860712
82,lore,7,1.860712
83,entre,7,1.860712
84,ese,7,1.860712
85,tienes,7,1.860712
86,podremos,7,1.860712
87,muchas,6,1.594896
88,muchos,6,1.594896
89,buena,6,1.594896
90,estos,6,1.594896
91,nada,6,1.594896
92,sólo,6,1.594896
93,metroidvania,6,1.594896
94,are,6,1.594896
95,one,6,1.594896
96,new,6,1.594896
97,this,6,1.594896
98,for,6,1.594896
99,cosas,6,1.594896
100,aun,6,1.594896
101,suerte,6,1.594896
102,mal,6,1.594896
103,sentido,6,1.594896
104,malo,6,1.594896
105,problema,6,1.594896
106,monster,6,1.594896
107,hunter,6,1.594896
108,hacer,6,1.594896
109,era,6,1.594896
110,jugabilidad,6,1.594896
111,antes,6,1.594896
112,casi,6,1.594896
113,tambien,6,1.594896
114,dark,6,1.594896
115,hecho,6,1.594896
116,secuela,6,1.594896
117,mago,6,1.594896
118,grandes,6,1.594896
119,puedo,5,1.32908
120,estar,5,1.32908
121,mismos,5,1.32908
122,idea,5,1.32908
123,peor,5,1.32908
124,divertido,5,1.32908
125,gustó,5,1.32908
126,sino,5,1.32908
127,nuevo,5,1.32908
128,da,5,1.32908
129,tengas,5,1.32908
130,gente,5,1.32908
131,precuela,5,1.32908
132,reseña,5,1.32908
133,estilo,5,1.32908
134,tan,5,1.32908
135,todos,5,1.32908
136,gusto,5,1.32908
137,variedad,5,1.32908
138,ta,5,1.32908
139,mejora,5,1.32908
140,principal,5,1.32908
141,otro,5,1.32908
142,esa,5,1.32908
143,cual,5,1.32908
144,sobre,5,1.32908
145,quizás,5,1.32908
146,diseño,5,1.32908
147,equipo,5,1.32908
148,epic,4,1.063264
149,ahí,4,1.063264
150,decir,4,1.063264
151,rato,4,1.063264
152,así,4,1.063264
153,cosa,4,1.063264
154,interesante,4,1.063264
155,amigos,4,1.063264
156,punto,4,1.063264
157,good,4,1.063264
158,than,4,1.063264
159,which,4,1.063264
160,not,4,1.063264
161,repetitivo,4,1.063264
162,igual,4,1.063264
163,final,4,1.063264
164,mapas,4,1.063264
165,demasiado,4,1.063264
166,volver,4,1.063264
167,siguiente,4,1.063264
168,lugar,4,1.063264
169,enorme,4,1.063264
170,gameplay,4,1.063264
171,esperaba,4,1.063264
172,encanta,4,1.063264
173,fácil,4,1.063264
174,ataques,4,1.063264
175,encima,4,1.063264
176,escenarios,4,1.063264
177,pesar,4,1.063264
178,parecido,4,1.063264
179,pues,4,1.063264
180,uno,4,1.063264
181,tema,4,1.063264
182,diferente,4,1.063264
183,varios,4,1.063264
184,tiempo,4,1.063264
185,personaje,4,1.063264
186,mientras,4,1.063264
187,2d,4,1.063264
188,mejorar,4,1.063264
189,santuario,4,1.063264
190,espera,4,1.063264
191,mando,4,1.063264
192,segunda,4,1.063264
193,dos,4,1.063264
194,luego,4,1.063264
195,otros,4,1.063264
196,have,4,1.063264
197,enemies,4,1.063264
198,puntos,4,1.063264
199,par,4,1.063264
200,pena,4,1.063264
