rank,token,frequency,relative_frequency_per_1000_tokens
1,salt,31,11.043819
2,and,28,9.975062
3,magos,28,9.975062
4,este,28,9.975062
5,sanctuary,23,8.193801
6,tiene,20,7.125045
7,esta,18,6.41254
8,mucho,17,6.056288
9,bueno,17,6.056288
10,bien,14,4.987531
11,puede,13,4.631279
12,eso,12,4.275027
13,hay,12,4.275027
14,cuando,11,3.918774
15,bosses,11,3.918774
16,sacrifice,11,3.918774
17,bastante,11,3.918774
18,historia,11,3.918774
19,buen,10,3.562522
20,también,10,3.562522
21,algo,10,3.562522
22,entrega,10,3.562522
23,qué,10,3.562522
24,aquí,10,3.562522
25,mejor,9,3.20627
26,siendo,9,3.20627
27,parte,9,3.20627
28,aunque,9,3.20627
29,donde,9,3.20627
30,vas,9,3.20627
31,está,8,2.850018
32,acá,8,2.850018
33,poco,8,2.850018
34,jugar,8,2.850018
35,nivel,8,2.850018
36,recomiendo,8,2.850018
37,primer,8,2.850018
38,solo,8,2.850018
39,vez,8,2.850018
40,zonas,8,2.850018
41,souls,8,2.850018
42,todo,8,2.850018
43,mundo,8,2.850018
44,armas,8,2.850018
45,tienen,7,2.493766
46,poder,7,2.493766
47,primero,7,2.493766
48,mas,7,2.493766
49,the,7,2.493766
50,you,7,2.493766
51,tanto,7,2.493766
52,hasta,7,2.493766
53,boss,7,2.493766
54,porque,7,2.493766
55,entre,7,2.493766
56,anterior,7,2.493766
57,sea,7,2.493766
58,ese,7,2.493766
59,sistema,7,2.493766
60,tienes,7,2.493766
61,podremos,7,2.493766
62,muchas,6,2.137513
63,estos,6,2.137513
64,sólo,6,2.137513
65,otra,6,2.137513
66,tener,6,2.137513
67,game,6,2.137513
68,primera,6,2.137513
69,ni,6,2.137513
70,lore,6,2.137513
71,jugabilidad,6,2.137513
72,ir,6,2.137513
73,zona,6,2.137513
74,dark,6,2.137513
75,hecho,6,2.137513
76,secuela,6,2.137513
77,cazar,6,2.137513
78,grandes,6,2.137513
79,puedo,5,1.781261
80,veces,5,1.781261
81,estar,5,1.781261
82,muchos,5,1.781261
83,buena,5,1.781261
84,divertido,5,1.781261
85,enemigos,5,1.781261
86,mismo,5,1.781261
87,of,5,1.781261
88,aun,5,1.781261
89,tan,5,1.781261
90,era,5,1.781261
91,jefes,5,1.781261
92,antes,5,1.781261
93,variedad,5,1.781261
94,ta,5,1.781261
95,otro,5,1.781261
96,mago,5,1.781261
97,mapa,5,1.781261
98,cual,5,1.781261
99,sentido,5,1.781261
100,sobre,5,1.781261
101,hacer,5,1.781261
102,suerte,5,1.781261
103,quizás,5,1.781261
104,diseño,5,1.781261
105,equipo,5,1.781261
106,ahí,4,1.425009
107,decir,4,1.425009
108,mismos,4,1.425009
109,interesante,4,1.425009
110,gustó,4,1.425009
111,metroidvania,4,1.425009
112,is,4,1.425009
113,to,4,1.425009
114,cosas,4,1.425009
115,fácil,4,1.425009
116,encima,4,1.425009
117,escenarios,4,1.425009
118,parecido,4,1.425009
119,pues,4,1.425009
120,uno,4,1.425009
121,tema,4,1.425009
122,gusto,4,1.425009
123,casi,4,1.425009
124,diferente,4,1.425009
125,2d,4,1.425009
126,monster,4,1.425009
127,hunter,4,1.425009
128,creo,4,1.425009
129,mejorar,4,1.425009
130,santuario,4,1.425009
131,problema,4,1.425009
132,mando,4,1.425009
133,segunda,4,1.425009
134,dos,4,1.425009
135,luego,4,1.425009
136,otros,4,1.425009
137,tengas,4,1.425009
138,esa,4,1.425009
139,precuela,4,1.425009
140,puntos,4,1.425009
141,principal,4,1.425009
142,par,4,1.425009
143,respecto,4,1.425009
144,sino,4,1.425009
145,además,4,1.425009
146,embargo,4,1.425009
147,resulta,4,1.425009
148,sal,4,1.425009
149,mejora,4,1.425009
150,título,4,1.425009
151,sensación,4,1.425009
152,derrotar,4,1.425009
153,mecánica,3,1.068757
154,rato,3,1.068757
155,boses,3,1.068757
156,están,3,1.068757
157,puertas,3,1.068757
158,así,3,1.068757
159,pasar,3,1.068757
160,idea,3,1.068757
161,algunos,3,1.068757
162,amigos,3,1.068757
163,nada,3,1.068757
164,sigue,3,1.068757
165,regresar,3,1.068757
166,it's,3,1.068757
167,good,3,1.068757
168,but,3,1.068757
169,are,3,1.068757
170,in,3,1.068757
171,one,3,1.068757
172,new,3,1.068757
173,this,3,1.068757
174,it,3,1.068757
175,if,3,1.068757
176,tal,3,1.068757
177,novedades,3,1.068757
178,encanta,3,1.068757
179,locura,3,1.068757
180,vida,3,1.068757
181,enemigo,3,1.068757
182,pesar,3,1.068757
183,cambio,3,1.068757
184,juegardo,3,1.068757
185,demasiado,3,1.068757
186,repetitivo,3,1.068757
187,gran,3,1.068757
188,va,3,1.068757
189,diferentes,3,1.068757
190,elementos,3,1.068757
191,juegazo,3,1.068757
192,gente,3,1.068757
193,experiencia,3,1.068757
194,lugar,3,1.068757
195,verdad,3,1.068757
196,dificil,3,1.068757
197,volver,3,1.068757
198,dije,3,1.068757
199,caso,3,1.068757
200,igual,3,1.068757
