token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
h2,10,0,19.920319,0.0,19.920319,34.213522
法師不會回血,3,0,5.976096,0.0,5.976096,32.476556
boss,2,0,3.984064,0.0,3.984064,31.891594
spoiler,2,0,3.984064,0.0,3.984064,31.891594
strike,2,0,3.984064,0.0,3.984064,31.891594
首先,2,0,3.984064,0.0,3.984064,31.891594
0版的遊玩體驗來說,1,0,1.992032,0.0,1.992032,30.891594
2023-1107,1,0,1.992032,0.0,1.992032,30.891594
2023-1113,1,0,1.992032,0.0,1.992032,30.891594
2023-1125,1,0,1.992032,0.0,1.992032,30.891594
2023-1126,1,0,1.992032,0.0,1.992032,30.891594
2023-1127,1,0,1.992032,0.0,1.992032,30.891594
2023-1216,1,0,1.992032,0.0,1.992032,30.891594
2024-1107,1,0,1.992032,0.0,1.992032,30.891594
20多只,1,0,1.992032,0.0,1.992032,30.891594
2d板魔物獵人,1,0,1.992032,0.0,1.992032,30.891594
60小時,1,0,1.992032,0.0,1.992032,30.891594
boos被玩家擊敗後的對話有會讓人感是到人物設計的用心,1,0,1.992032,0.0,1.992032,30.891594
boss戰,1,0,1.992032,0.0,1.992032,30.891594
boss的裝備還有武器技能種類真的很有趣,1,0,1.992032,0.0,1.992032,30.891594
boss跟玩家一樣是地圖的外來者在整張地圖上戰鬥是一種非常特殊的體驗,1,0,1.992032,0.0,1.992032,30.891594
com,1,0,1.992032,0.0,1.992032,30.891594
dos那年代的味道,1,0,1.992032,0.0,1.992032,30.891594
filedetails,1,0,1.992032,0.0,1.992032,30.891594
https,1,0,1.992032,0.0,1.992032,30.891594
id,1,0,1.992032,0.0,1.992032,30.891594
loop到殺王,1,0,1.992032,0.0,1.992032,30.891594
npc直接說明下一步要做什麼,1,0,1.992032,0.0,1.992032,30.891594
sharedfiles,1,0,1.992032,0.0,1.992032,30.891594
steamcommunity,1,0,1.992032,0.0,1.992032,30.891594
一代玩了五周目,1,0,1.992032,0.0,1.992032,30.891594
一年後來再改,1,0,1.992032,0.0,1.992032,30.891594
一直打到後期,1,0,1.992032,0.0,1.992032,30.891594
一直跑一直跑,1,0,1.992032,0.0,1.992032,30.891594
一開始玩印象是很難上手初期打boos都是翻滾,1,0,1.992032,0.0,1.992032,30.891594
上手後開始利用地形,1,0,1.992032,0.0,1.992032,30.891594
上次沒玩到,1,0,1.992032,0.0,1.992032,30.891594
上次莫明ng,1,0,1.992032,0.0,1.992032,30.891594
不可預測性太高,1,0,1.992032,0.0,1.992032,30.891594
不同,1,0,1.992032,0.0,1.992032,30.891594
不是專業講評人,1,0,1.992032,0.0,1.992032,30.891594
不是很愉快的體驗,1,0,1.992032,0.0,1.992032,30.891594
不然一代走力量敏捷就跟魔法無緣了,1,0,1.992032,0.0,1.992032,30.891594
不用太過擔心,1,0,1.992032,0.0,1.992032,30.891594
不知道原版為何評價如此慘烈,1,0,1.992032,0.0,1.992032,30.891594
不算暴雷,1,0,1.992032,0.0,1.992032,30.891594
不能以一代來看這代就是了,1,0,1.992032,0.0,1.992032,30.891594
不能只有我感受到痛苦,1,0,1.992032,0.0,1.992032,30.891594
不要貿然行事捲入他們的鬥爭當中就可以有很好的體驗,1,0,1.992032,0.0,1.992032,30.891594
並不是不好玩,1,0,1.992032,0.0,1.992032,30.891594
並不是只有一小個區域,1,0,1.992032,0.0,1.992032,30.891594
並且遊戲並不是一大張地圖,1,0,1.992032,0.0,1.992032,30.891594
並非同個陣營,1,0,1.992032,0.0,1.992032,30.891594
主線內容,1,0,1.992032,0.0,1.992032,30.891594
也是最重要的,1,0,1.992032,0.0,1.992032,30.891594
了之後就不成阻礙,1,0,1.992032,0.0,1.992032,30.891594
二代的主線劇情比較明確,1,0,1.992032,0.0,1.992032,30.891594
二代需要吞噬法師心臟來一邊推進,1,0,1.992032,0.0,1.992032,30.891594
人物刻劃比較細膩,1,0,1.992032,0.0,1.992032,30.891594
人物的捏臉特色有比較鮮明,1,0,1.992032,0.0,1.992032,30.891594
他並非闖入其他玩家戰役幫忙,1,0,1.992032,0.0,1.992032,30.891594
他可以格檔到世界末日,1,0,1.992032,0.0,1.992032,30.891594
他自會逃跑,1,0,1.992032,0.0,1.992032,30.891594
他與絕大多數,1,0,1.992032,0.0,1.992032,30.891594
以一款合作遊戲來說,1,0,1.992032,0.0,1.992032,30.891594
以上全是個人心得感覺,1,0,1.992032,0.0,1.992032,30.891594
以下是法師的介紹,1,0,1.992032,0.0,1.992032,30.891594
以下是自己的心得淺見,1,0,1.992032,0.0,1.992032,30.891594
但一定要請你朋友玩,1,0,1.992032,0.0,1.992032,30.891594
但一張地圖的範圍還是頗大,1,0,1.992032,0.0,1.992032,30.891594
但以目前2,1,0,1.992032,0.0,1.992032,30.891594
但前作的味道還在,1,0,1.992032,0.0,1.992032,30.891594
但地圖設計噁心明顯大於用心,1,0,1.992032,0.0,1.992032,30.891594
但如果用類魂的標準看它大概就會差評,1,0,1.992032,0.0,1.992032,30.891594
但實際上當你熟悉了這套體系,1,0,1.992032,0.0,1.992032,30.891594
但我不推薦大家玩,1,0,1.992032,0.0,1.992032,30.891594
但我們體驗下來並沒有任何不適,1,0,1.992032,0.0,1.992032,30.891594
但是分開來看,1,0,1.992032,0.0,1.992032,30.891594
但是多少記得他有多好玩,1,0,1.992032,0.0,1.992032,30.891594
但是我從來沒有因為複數法師而被打回存檔點過,1,0,1.992032,0.0,1.992032,30.891594
但是被圍毆倒是不至於,1,0,1.992032,0.0,1.992032,30.891594
但為了支持還是買了,1,0,1.992032,0.0,1.992032,30.891594
但當你成長的足夠強大時,1,0,1.992032,0.0,1.992032,30.891594
但終歸見仁見智,1,0,1.992032,0.0,1.992032,30.891594
但若是當作另一款產品來玩,1,0,1.992032,0.0,1.992032,30.891594
但要有毅力玩完,1,0,1.992032,0.0,1.992032,30.891594
但這是一款褒貶不一的遊戲呀,1,0,1.992032,0.0,1.992032,30.891594
但這款遊戲絕對沒有頻論說的那麼不堪,1,0,1.992032,0.0,1.992032,30.891594
但這遊戲真的很佛心,1,0,1.992032,0.0,1.992032,30.891594
但這過程其實熟了也不難,1,0,1.992032,0.0,1.992032,30.891594
但遊玩的體驗非常像在玩魔物獵人,1,0,1.992032,0.0,1.992032,30.891594
但還是要看臉,1,0,1.992032,0.0,1.992032,30.891594
但魔獵也有給地圖啊,1,0,1.992032,0.0,1.992032,30.891594
但黑魂玩家的我不喜歡,1,0,1.992032,0.0,1.992032,30.891594
作者肯定嗑了藥才會做出這麼糟糕的東西,1,0,1.992032,0.0,1.992032,30.891594
你他媽這遊戲根本無解,1,0,1.992032,0.0,1.992032,30.891594
你可以不玩,1,0,1.992032,0.0,1.992032,30.891594
你妹的咧,1,0,1.992032,0.0,1.992032,30.891594
你會快樂許多,1,0,1.992032,0.0,1.992032,30.891594
你會感到快樂的,1,0,1.992032,0.0,1.992032,30.891594
你會覺得遊戲過程還挺有趣的,1,0,1.992032,0.0,1.992032,30.891594
你的人生只剩狩獵法師,1,0,1.992032,0.0,1.992032,30.891594
你該高興而不是生氣,1,0,1.992032,0.0,1.992032,30.891594
你說要學魔獵,1,0,1.992032,0.0,1.992032,30.891594
你跑我追的遊戲已經很煩,1,0,1.992032,0.0,1.992032,30.891594
傳送地圖的方式不需要在擺人偶,1,0,1.992032,0.0,1.992032,30.891594
像是abb,1,0,1.992032,0.0,1.992032,30.891594
像是我想什麼都玩的就比較麻煩了,1,0,1.992032,0.0,1.992032,30.891594
儘管法師受了傷會逃跑,1,0,1.992032,0.0,1.992032,30.891594
優點,1,0,1.992032,0.0,1.992032,30.891594
充當打手或是吸仇恨都很好用,1,0,1.992032,0.0,1.992032,30.891594
先說說結論,1,0,1.992032,0.0,1.992032,30.891594
光技能樹就非常龐大了,1,0,1.992032,0.0,1.992032,30.891594
光閃避就飽了還反擊個屁,1,0,1.992032,0.0,1.992032,30.891594
克服,1,0,1.992032,0.0,1.992032,30.891594
內容豐富很多,1,0,1.992032,0.0,1.992032,30.891594
兩個人一起體驗會好很多,1,0,1.992032,0.0,1.992032,30.891594
兩個人玩很順暢好玩,1,0,1.992032,0.0,1.992032,30.891594
兩款的遊戲方式和風格差挺多,1,0,1.992032,0.0,1.992032,30.891594
兩者地圖的設計依樣都很有巧思和創意,1,0,1.992032,0.0,1.992032,30.891594
其他還有超高速攻擊,1,0,1.992032,0.0,1.992032,30.891594
其他都不用管,1,0,1.992032,0.0,1.992032,30.891594
其實,1,0,1.992032,0.0,1.992032,30.891594
其實有嘗到甜頭,1,0,1.992032,0.0,1.992032,30.891594
其次,1,0,1.992032,0.0,1.992032,30.891594
再做個好玩的三代出來,1,0,1.992032,0.0,1.992032,30.891594
再加上我是中世紀黑暗風格的死迷,1,0,1.992032,0.0,1.992032,30.891594
再玩敏捷武器實著難受,1,0,1.992032,0.0,1.992032,30.891594
再高再遠,1,0,1.992032,0.0,1.992032,30.891594
分布算蠻多的補給和存檔都方便,1,0,1.992032,0.0,1.992032,30.891594
分開跑圖追法師實在輕鬆,1,0,1.992032,0.0,1.992032,30.891594
初次打boos就建立了滿滿的信心,1,0,1.992032,0.0,1.992032,30.891594
到後期越打越輕鬆,1,0,1.992032,0.0,1.992032,30.891594
到赦罪谷的下方傳送門右邊的合作面板,1,0,1.992032,0.0,1.992032,30.891594
前往新地區,1,0,1.992032,0.0,1.992032,30.891594
剛好可以克服不少噁心處,1,0,1.992032,0.0,1.992032,30.891594
剛好有其他法師跑來的話,1,0,1.992032,0.0,1.992032,30.891594
剛開始玩確實會分身乏術,1,0,1.992032,0.0,1.992032,30.891594
副本式地圖,1,0,1.992032,0.0,1.992032,30.891594
