token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
enemies,138,120,3.808998,2.038528,1.77047,0.901884
all,202,231,5.57549,3.924167,1.651323,0.506712
have,266,340,7.341982,5.77583,1.566152,0.346141
even,133,132,3.670991,2.242381,1.42861,0.711138
level,84,67,2.318521,1.138178,1.180342,1.026478
every,76,56,2.097709,0.951313,1.146396,1.140822
first,184,234,5.078664,3.97513,1.103534,0.353447
bad,91,85,2.511731,1.443957,1.067773,0.798653
attacks,61,41,1.683688,0.696497,0.98719,1.273435
design,71,62,1.959702,1.05324,0.906462,0.895801
enemy,59,43,1.628485,0.730473,0.898012,1.156628
only,100,110,2.760144,1.868651,0.891493,0.562746
time,113,133,3.118962,2.259369,0.859593,0.465146
the,92,101,2.539332,1.715761,0.823571,0.5656
almost,38,14,1.048855,0.237828,0.811026,2.140822
boss,134,170,3.698592,2.887915,0.810677,0.356948
h1,60,50,1.656086,0.849387,0.806699,0.963284
had,69,69,1.904499,1.172154,0.732345,0.70025
make,72,75,1.987303,1.27408,0.713223,0.641356
any,56,50,1.54568,0.849387,0.696294,0.863749
again,46,34,1.269666,0.577583,0.692083,1.136349
after,79,88,2.180513,1.494921,0.685593,0.544599
очень,39,25,1.076456,0.424693,0.651763,1.341796
fight,66,69,1.821695,1.172154,0.649541,0.636119
down,60,60,1.656086,1.019264,0.636822,0.70025
point,39,27,1.076456,0.458669,0.617787,1.230765
maybe,35,21,0.96605,0.356742,0.609308,1.437215
one,185,265,5.106266,4.50175,0.604516,0.181783
made,47,41,1.297267,0.696497,0.60077,0.897287
about,79,93,2.180513,1.579859,0.600654,0.464872
dodge,27,9,0.745239,0.15289,0.592349,2.285212
in,31,16,0.855644,0.271804,0.583841,1.654446
teleport,28,12,0.77284,0.203853,0.568987,1.922642
that,28,12,0.77284,0.203853,0.568987,1.922642
локации,31,17,0.855644,0.288791,0.566853,1.566983
can't,42,35,1.15926,0.594571,0.56469,0.963284
boring,25,8,0.690036,0.135902,0.554134,2.344106
up,102,134,2.815346,2.276356,0.53899,0.306586
instead,42,37,1.15926,0.628546,0.530714,0.883114
hit,48,47,1.324869,0.798424,0.526445,0.730623
map,64,73,1.766492,1.240105,0.526387,0.510425
around,62,70,1.711289,1.189141,0.522148,0.525163
into,86,109,2.373723,1.851663,0.52206,0.35833
bosses,140,197,3.864201,3.346584,0.517617,0.207481
issue,29,17,0.800442,0.288791,0.51165,1.470768
back,51,53,1.407673,0.90035,0.507323,0.644755
why,44,42,1.214463,0.713485,0.500978,0.767364
want,53,57,1.462876,0.968301,0.494575,0.59528
through,60,69,1.656086,1.172154,0.483932,0.498616
nothing,31,22,0.855644,0.37373,0.481914,1.195014
over,48,50,1.324869,0.849387,0.475482,0.641356
now,54,60,1.490478,1.019264,0.471213,0.548247
reason,25,13,0.690036,0.220841,0.469195,1.643666
terrible,20,5,0.552029,0.084939,0.46709,2.70025
cannot,23,10,0.634833,0.169877,0.464956,1.901884
jump,23,10,0.634833,0.169877,0.464956,1.901884
wanted,29,20,0.800442,0.339755,0.460687,1.236303
downgrade,19,4,0.524427,0.067951,0.456476,2.948177
feels,68,84,1.876898,1.42697,0.449928,0.395395
chase,31,24,0.855644,0.407706,0.447939,1.069484
too,79,102,2.180513,1.732749,0.447764,0.331605
worst,19,6,0.524427,0.101926,0.422501,2.363215
spam,22,11,0.607232,0.186865,0.420366,1.70025
doesn't,41,42,1.131659,0.713485,0.418174,0.665484
roll,20,8,0.552029,0.135902,0.416127,2.022178
attack,53,62,1.462876,1.05324,0.409637,0.473974
start,32,28,0.883246,0.475657,0.407589,0.892895
trying,30,25,0.828043,0.424693,0.40335,0.963284
screen,20,9,0.552029,0.15289,0.399139,1.852253
off,44,48,1.214463,0.815411,0.399052,0.574719
out,88,120,2.428926,2.038528,0.390398,0.252791
death,27,21,0.745239,0.356742,0.388496,1.06282
trash,15,2,0.414022,0.033975,0.380046,3.60714
tried,16,4,0.441623,0.067951,0.373672,2.70025
like,272,420,7.50759,7.134849,0.372742,0.073467
never,30,27,0.828043,0.458669,0.369374,0.852253
know,41,45,1.131659,0.764448,0.367211,0.565949
half,20,11,0.552029,0.186865,0.365164,1.562746
already,28,24,0.77284,0.407706,0.365135,0.922642
annoying,36,37,0.993652,0.628546,0.365105,0.660721
don't,103,146,2.842948,2.480209,0.362739,0.196926
of,42,47,1.15926,0.798424,0.360837,0.537978
things,50,60,1.380072,1.019264,0.360808,0.437215
找法师,13,0,0.358819,0.0,0.358819,28.41868
most,69,91,1.904499,1.545884,0.358615,0.30098
an,16,5,0.441623,0.084939,0.356684,2.378322
traps,19,10,0.524427,0.169877,0.35455,1.626249
spamming,14,2,0.38642,0.033975,0.352445,3.507605
many,54,67,1.490478,1.138178,0.352299,0.389048
completely,26,22,0.717637,0.37373,0.343907,0.941258
need,42,48,1.15926,0.815411,0.343849,0.507605
fall,19,11,0.524427,0.186865,0.337562,1.488746
let,20,13,0.552029,0.220841,0.331188,1.321738
since,36,39,0.993652,0.662522,0.33113,0.584773
man,23,18,0.634833,0.305779,0.329054,1.053887
loved,26,23,0.717637,0.390718,0.326919,0.877128
felt,27,25,0.745239,0.424693,0.320545,0.811281
didn't,35,38,0.96605,0.645534,0.320516,0.581605
unavoidable,12,1,0.331217,0.016988,0.314229,4.285212
same,79,110,2.180513,1.868651,0.311863,0.222671
problem,21,16,0.57963,0.271804,0.307826,1.092567
frustrating,29,29,0.800442,0.492644,0.307797,0.70025
flying,16,8,0.441623,0.135902,0.305721,1.70025
moves,16,8,0.441623,0.135902,0.305721,1.70025
worse,27,26,0.745239,0.441681,0.303558,0.754698
reach,14,5,0.38642,0.084939,0.301481,2.185677
ever,22,18,0.607232,0.305779,0.301452,0.989756
spend,12,2,0.331217,0.033975,0.297242,3.285212
random,20,15,0.552029,0.254816,0.297213,1.115287
complete,18,12,0.496826,0.203853,0.292973,1.285212
h2,18,12,0.496826,0.203853,0.292973,1.285212
avoid,13,4,0.358819,0.067951,0.290868,2.400689
hp,13,4,0.358819,0.067951,0.290868,2.400689
mobs,24,22,0.662434,0.37373,0.288704,0.825781
damage,48,61,1.324869,1.036252,0.288617,0.354475
deal,19,14,0.524427,0.237828,0.286599,1.140822
cheap,14,6,0.38642,0.101926,0.284494,1.922642
everything,30,32,0.828043,0.543608,0.284436,0.60714
finish,17,11,0.469224,0.186865,0.282359,1.328281
tedious,20,16,0.552029,0.271804,0.280225,1.022178
final,28,29,0.77284,0.492644,0.280196,0.649624
attacking,15,8,0.414022,0.135902,0.27812,1.60714
gone,15,8,0.414022,0.135902,0.27812,1.60714
killed,15,8,0.414022,0.135902,0.27812,1.60714
way,71,99,1.959702,1.681786,0.277916,0.22064
jedoch,10,0,0.276014,0.0,0.276014,28.040168
points,18,13,0.496826,0.220841,0.275985,1.169735
magier,13,5,0.358819,0.084939,0.27388,2.078761
real,21,18,0.57963,0.305779,0.273851,0.922642
spoiler,32,36,0.883246,0.611558,0.271687,0.530325
starting,14,7,0.38642,0.118914,0.267506,1.70025
spawn,22,20,0.607232,0.339755,0.267477,0.837753
