token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
que,273,78,4.637652,2.152912,2.48474,1.107105
fun,268,83,4.552713,2.290919,2.261794,0.9908
salt,530,258,9.003499,7.12117,1.882329,0.338372
sanctuary,483,232,8.205076,6.403533,1.801543,0.357649
more,305,123,5.181259,3.394977,1.786283,0.609901
different,149,32,2.531172,0.883246,1.647927,1.518919
souls,187,60,3.176706,1.656086,1.52062,0.939754
good,274,115,4.654639,3.174165,1.480474,0.552292
people,98,13,1.664798,0.358819,1.305979,2.21402
weapons,157,51,2.667074,1.407673,1.259401,0.921946
great,115,26,1.95359,0.717637,1.235952,1.444801
dark,132,38,2.242381,1.048855,1.193526,1.096217
pretty,92,15,1.562872,0.414022,1.14885,1.916422
2d,106,26,1.8007,0.717637,1.083063,1.327231
it's,335,169,5.690891,4.664643,1.026249,0.286888
new,113,33,1.919614,0.910847,1.008767,1.075535
still,160,62,2.718038,1.711289,1.006749,0.667482
co-op,72,8,1.223117,0.220811,1.002305,2.469675
hunter,173,71,2.938878,1.959702,0.979176,0.584631
monster,190,83,3.22767,2.290919,0.93675,0.494566
mages,240,114,4.077056,3.146564,0.930493,0.373751
much,160,66,2.718038,1.821695,0.896343,0.577284
lot,139,54,2.361295,1.490478,0.870818,0.663804
magos,71,13,1.206129,0.358819,0.847311,1.749058
sacrifice,191,88,3.244657,2.428926,0.815731,0.417747
bom,56,5,0.951313,0.138007,0.813306,2.785177
think,91,27,1.545884,0.745239,0.800645,1.052657
better,123,47,2.089491,1.297267,0.792224,0.687676
gameplay,112,41,1.902626,1.131659,0.770967,0.749553
get,229,114,3.890191,3.146564,0.743628,0.306064
overall,63,15,1.070227,0.414022,0.656206,1.37014
multiplayer,78,25,1.325043,0.690036,0.635007,0.941296
playing,73,22,1.240105,0.607232,0.632873,1.030143
while,124,54,2.106479,1.490478,0.616002,0.499059
isn't,63,17,1.070227,0.469224,0.601003,1.189567
tem,58,14,0.985289,0.38642,0.598869,1.350376
você,72,23,1.223117,0.634833,0.588284,0.946113
primeiro,53,12,0.90035,0.331217,0.569133,1.442708
esse,43,6,0.730473,0.165609,0.564864,2.141052
nice,51,11,0.866374,0.303616,0.562759,1.512744
definitely,41,5,0.696497,0.138007,0.55849,2.335374
pra,44,7,0.74746,0.19321,0.55425,1.951827
there,190,97,3.22767,2.677339,0.55033,0.269693
build,51,12,0.866374,0.331217,0.535157,1.387213
reviews,57,16,0.968301,0.441623,0.526678,1.13264
pvp,39,5,0.662522,0.138007,0.524514,2.263224
love,94,39,1.596847,1.076456,0.520391,0.568937
soulslike,58,17,0.985289,0.469224,0.516064,1.070268
bit,72,26,1.223117,0.717637,0.50548,0.769235
each,79,31,1.342031,0.855644,0.486387,0.649335
metroidvania,61,20,1.036252,0.552029,0.484223,0.908559
items,56,17,0.951313,0.469224,0.482089,1.019642
de,43,9,0.730473,0.248413,0.48206,1.55609
has,142,70,2.412258,1.9321,0.480158,0.320214
played,94,41,1.596847,1.131659,0.465188,0.496787
however,37,6,0.628546,0.165609,0.462938,1.924241
isso,37,6,0.628546,0.165609,0.462938,1.924241
armor,82,34,1.392994,0.938449,0.454545,0.569839
combat,108,51,1.834675,1.407673,0.427002,0.382212
i'm,90,40,1.528896,1.104057,0.424839,0.469675
bastante,25,0,0.424693,0.0,0.424693,28.661846
well,85,37,1.443957,1.021253,0.422704,0.499688
materials,37,8,0.628546,0.220811,0.407735,1.509204
type,35,7,0.594571,0.19321,0.401361,1.621678
you'll,51,17,0.866374,0.469224,0.39715,0.884713
en,33,6,0.560595,0.165609,0.394987,1.759182
este,33,6,0.560595,0.165609,0.394987,1.759182
game,80,35,1.359019,0.96605,0.392969,0.492395
como,41,11,0.696497,0.303616,0.392881,1.197871
bem,39,10,0.662522,0.276014,0.386507,1.263224
grind,39,10,0.662522,0.276014,0.386507,1.263224
alguns,24,1,0.407706,0.027601,0.380104,3.884713
builds,35,8,0.594571,0.220811,0.373759,1.429033
experience,69,29,1.172154,0.800442,0.371712,0.550294
bien,25,2,0.424693,0.055203,0.369491,2.943606
bir,23,1,0.390718,0.027601,0.363116,3.823312
