language,review_count,review_percentage,total_tokens,unique_tokens,type_token_ratio,mean_review_length_words,median_review_length_words
english,729,40.9551,55501,7212,0.129944,132.6132,43.0
schinese,500,28.0899,6545,6167,0.942246,3.38,1.0
russian,133,7.4719,10836,4761,0.439369,113.7218,29.0
brazilian,117,6.573,6277,2117,0.337263,81.6667,25.0
spanish,69,3.8764,3762,1862,0.494949,93.3043,15.0
japanese,44,2.4719,1154,1082,0.937608,13.1818,10.0
tchinese,40,2.2472,819,801,0.978022,8.3,4.5
koreana,32,1.7978,1172,995,0.848976,39.5625,17.0
german,21,1.1798,2410,1215,0.504149,154.5714,59.0
french,18,1.0112,1161,630,0.542636,90.7778,57.5
polish,16,0.8989,1134,654,0.57672,77.4375,29.5
italian,11,0.618,794,544,0.685139,99.0,25.0
turkish,10,0.5618,962,620,0.644491,95.4,11.5
latam,9,0.5056,508,255,0.501969,58.3333,30.0
ukrainian,9,0.5056,438,316,0.721461,53.2222,20.0
thai,8,0.4494,972,696,0.716049,38.75,21.0
czech,3,0.1685,37,32,0.864865,13.0,4.0
portuguese,3,0.1685,105,84,0.8,40.6667,26.0
finnish,2,0.1124,21,19,0.904762,11.0,11.0
hungarian,2,0.1124,60,51,0.85,31.5,31.5
vietnamese,2,0.1124,15,15,1.0,7.5,7.5
danish,1,0.0562,171,114,0.666667,181.0,181.0
dutch,1,0.0562,242,167,0.690083,250.0,250.0
