rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt sanctuary,122,3.430725
2,monster hunter,70,1.968449
3,salt and,69,1.940328
4,and sanctuary,44,1.237311
5,salt sacrifice,36,1.012345
6,dark souls,32,0.899862
7,feels like,31,0.871742
8,first one,30,0.843621
9,level design,22,0.618655
10,and sacrifice,20,0.562414
11,feel like,19,0.534293
12,level up,19,0.534293
13,boss fight,14,0.39369
14,all time,14,0.39369
15,don't know,13,0.365569
16,final boss,13,0.365569
17,boss fights,12,0.337448
18,art style,12,0.337448
19,this game,12,0.337448
20,heavy armor,11,0.309328
21,more like,11,0.309328
22,mage hunts,11,0.309328
23,around map,11,0.309328
24,skill tree,11,0.309328
25,like monster,10,0.281207
26,don't even,10,0.281207
27,gameplay loop,10,0.281207
28,way too,10,0.281207
29,souls like,10,0.281207
30,all over,10,0.281207
31,the game,10,0.281207
32,очень сильно,10,0.281207
33,play salt,9,0.253086
34,don't feel,9,0.253086
35,hunting mages,9,0.253086
36,of the,9,0.253086
37,первой частью,8,0.224966
38,don't think,8,0.224966
39,even more,8,0.224966
40,straight up,8,0.224966
41,первой части,8,0.224966
42,many things,8,0.224966
43,now have,8,0.224966
44,сравнению первой,8,0.224966
45,grappling hook,8,0.224966
46,felt like,8,0.224966
47,even though,8,0.224966
48,things like,7,0.196845
49,some reason,7,0.196845
50,some enemies,7,0.196845
51,ska studios,7,0.196845
52,most time,7,0.196845
53,the first,7,0.196845
54,how much,7,0.196845
55,too many,7,0.196845
56,too much,7,0.196845
57,go back,7,0.196845
58,every single,7,0.196845
59,don't have,7,0.196845
60,loved first,7,0.196845
61,game is,7,0.196845
62,every boss,7,0.196845
63,open world,7,0.196845
64,steam release,7,0.196845
65,didn't like,6,0.168724
66,only one,6,0.168724
67,over over,6,0.168724
68,know how,6,0.168724
69,know what,6,0.168724
70,sanctuary it's,6,0.168724
71,mage hunt,6,0.168724
72,sanctuary don't,6,0.168724
73,much more,6,0.168724
74,like first,6,0.168724
75,online play,6,0.168724
76,especially when,6,0.168724
77,first time,6,0.168724
78,weapons have,6,0.168724
79,each other,6,0.168724
80,have to,6,0.168724
81,every time,6,0.168724
82,over again,6,0.168724
83,mage bosses,6,0.168724
84,only thing,6,0.168724
85,trash mobs,6,0.168724
86,back hub,6,0.168724
87,far less,6,0.168724
88,perfect block,6,0.168724
89,first boss,6,0.168724
90,good idea,6,0.168724
91,stuns grabs,6,0.168724
92,mage hunting,6,0.168724
93,找法师 找法师,6,0.168724
94,have same,5,0.140603
95,doesn't work,5,0.140603
96,get into,5,0.140603
97,same boss,5,0.140603
98,like one,5,0.140603
99,core gameplay,5,0.140603
100,some more,5,0.140603
