rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt sanctuary,347,3.718548
2,monster hunter,239,2.56119
3,salt and,205,2.196837
4,dark souls,144,1.543144
5,and sanctuary,126,1.350251
6,salt sacrifice,125,1.339534
7,first one,63,0.675125
8,and sacrifice,62,0.664409
9,feels like,55,0.589395
10,mage hunts,47,0.503665
11,первой части,45,0.482232
12,souls like,41,0.439367
13,gameplay loop,35,0.37507
14,skill tree,35,0.37507
15,ska studios,35,0.37507
16,feel like,34,0.364353
17,level design,33,0.353637
18,heavy armor,32,0.342921
19,each other,30,0.321488
20,boss fights,30,0.321488
21,like monster,28,0.300056
22,more like,28,0.300056
23,it's good,28,0.300056
24,level up,27,0.289339
25,like salt,25,0.267907
26,like first,24,0.257191
27,don't know,24,0.257191
28,final boss,24,0.257191
29,mage hunt,23,0.246474
30,boss fight,22,0.235758
31,around map,22,0.235758
32,don't think,21,0.225042
33,this game,21,0.225042
34,hunting mages,21,0.225042
35,too much,21,0.225042
36,art style,21,0.225042
37,way too,20,0.214326
38,don't have,20,0.214326
39,much more,20,0.214326
40,que você,20,0.214326
41,negative reviews,19,0.203609
42,the game,19,0.203609
43,of the,19,0.203609
44,like sanctuary,18,0.192893
45,felt like,18,0.192893
46,sanctuary still,18,0.192893
47,all time,18,0.192893
48,2d monster,17,0.182177
49,even more,16,0.17146
50,know what,16,0.17146
51,different first,16,0.17146
52,light armor,16,0.17146
53,go back,16,0.17146
54,sanctuary it's,16,0.17146
55,there some,16,0.17146
56,elden ring,16,0.17146
57,lot fun,16,0.17146
58,even though,16,0.17146
59,over over,15,0.160744
60,end up,15,0.160744
61,первой частью,15,0.160744
62,grappling hook,15,0.160744
63,the first,15,0.160744
64,all over,15,0.160744
65,perfect block,15,0.160744
66,pretty much,15,0.160744
67,очень сильно,15,0.160744
68,lot more,14,0.150028
69,souls 2d,14,0.150028
70,like it's,14,0.150028
71,don't feel,14,0.150028
72,weapons armor,14,0.150028
73,game is,14,0.150028
74,how much,14,0.150028
75,сравнению первой,14,0.150028
76,don't even,13,0.139312
77,all all,13,0.139312
78,only one,13,0.139312
79,have played,13,0.139312
80,it's own,13,0.139312
81,sequel salt,13,0.139312
82,interconnected world,13,0.139312
83,played salt,13,0.139312
84,every single,13,0.139312
85,mage hunting,13,0.139312
86,things like,12,0.128595
87,like one,12,0.128595
88,i've played,12,0.128595
89,mixed reviews,12,0.128595
90,2d dark,12,0.128595
91,mage fights,12,0.128595
92,play salt,12,0.128595
93,don't get,12,0.128595
94,still good,12,0.128595
95,most time,12,0.128595
96,ranged weapons,12,0.128595
97,one two,12,0.128595
98,i'm sure,12,0.128595
99,haven't played,12,0.128595
100,people who,12,0.128595
