rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt sanctuary,225,3.895767
2,monster hunter,169,2.926154
3,salt and,136,2.354774
4,dark souls,112,1.939226
5,salt sacrifice,89,1.540992
6,and sanctuary,82,1.41979
7,and sacrifice,42,0.72721
8,первой части,37,0.640637
9,mage hunts,36,0.623323
10,first one,33,0.571379
11,souls like,31,0.53675
12,ska studios,28,0.484807
13,gameplay loop,25,0.432863
14,each other,24,0.415548
15,feels like,24,0.415548
16,skill tree,24,0.415548
17,it's good,23,0.398234
18,like salt,21,0.363605
19,heavy armor,21,0.363605
20,like first,18,0.311661
21,like monster,18,0.311661
22,boss fights,18,0.311661
23,more like,17,0.294347
24,mage hunt,17,0.294347
25,sanctuary still,16,0.277032
26,que você,16,0.277032
27,like sanctuary,15,0.259718
28,different first,15,0.259718
29,feel like,15,0.259718
30,lot fun,15,0.259718
31,negative reviews,15,0.259718
32,much more,14,0.242403
33,too much,14,0.242403
34,2d monster,14,0.242403
35,souls 2d,13,0.225089
36,don't have,13,0.225089
37,there some,13,0.225089
38,elden ring,13,0.225089
39,don't think,13,0.225089
40,lot more,12,0.207774
41,weapons armor,12,0.207774
42,hunting mages,12,0.207774
43,around map,11,0.19046
44,level design,11,0.19046
45,light armor,11,0.19046
46,don't know,11,0.19046
47,sequel salt,11,0.19046
48,ao primeiro,11,0.19046
49,final boss,11,0.19046
50,pretty much,11,0.19046
51,hunter style,11,0.19046
52,good salt,11,0.19046
53,felt like,10,0.173145
54,end up,10,0.173145
55,pretty good,10,0.173145
56,like it's,10,0.173145
57,of the,10,0.173145
58,other reviews,10,0.173145
59,know what,10,0.173145
60,way too,10,0.173145
61,2d soulslike,10,0.173145
62,still good,10,0.173145
63,one has,10,0.173145
64,all all,10,0.173145
65,sanctuary it's,10,0.173145
66,has some,10,0.173145
67,it's fun,10,0.173145
68,weapon types,10,0.173145
69,hunter dark,9,0.155831
70,2d dark,9,0.155831
71,still has,9,0.155831
72,mage fights,9,0.155831
73,one two,9,0.155831
74,i'm sure,9,0.155831
75,one more,9,0.155831
76,over over,9,0.155831
77,nameless mages,9,0.155831
78,doesn't have,9,0.155831
79,go back,9,0.155831
80,the game,9,0.155831
81,this game,9,0.155831
82,souls monster,9,0.155831
83,have fun,9,0.155831
84,2d souls,9,0.155831
85,little bit,9,0.155831
86,have lot,9,0.155831
87,perfect block,9,0.155831
88,played salt,9,0.155831
89,much better,9,0.155831
90,this is,9,0.155831
91,people who,9,0.155831
92,art style,9,0.155831
93,souls salt,9,0.155831
94,hunt mages,9,0.155831
95,pretty fun,9,0.155831
96,bosses mages,8,0.138516
97,more fun,8,0.138516
98,mixed reviews,8,0.138516
99,why people,8,0.138516
100,sanctuary more,8,0.138516
