language,rank,token,frequency,relative_frequency_per_1000_tokens
brazilian,1,que,279,44.447985
brazilian,2,você,95,15.134618
brazilian,3,salt,70,11.151824
brazilian,4,tem,67,10.673889
brazilian,5,and,63,10.036642
brazilian,6,bom,56,8.921459
brazilian,7,primeiro,54,8.602836
brazilian,8,pra,50,7.965589
brazilian,9,magos,49,7.806277
brazilian,10,sanctuary,46,7.328342
brazilian,11,bem,43,6.850406
brazilian,12,esse,41,6.531783
brazilian,13,isso,40,6.372471
brazilian,14,como,39,6.213159
brazilian,15,mapa,34,5.4166
brazilian,16,mesmo,33,5.257289
brazilian,17,ao,29,4.620041
brazilian,18,game,29,4.620041
brazilian,19,ter,27,4.301418
brazilian,20,souls,27,4.301418
brazilian,21,ainda,26,4.142106
brazilian,22,bosses,26,4.142106
brazilian,23,até,25,3.982794
brazilian,24,jogar,25,3.982794
brazilian,25,sacrifice,25,3.982794
brazilian,26,melhor,24,3.823483
brazilian,27,te,24,3.823483
brazilian,28,alguns,24,3.823483
brazilian,29,vai,23,3.664171
brazilian,30,pode,23,3.664171
brazilian,31,nem,23,3.664171
brazilian,32,tudo,22,3.504859
brazilian,33,recomendo,22,3.504859
brazilian,34,só,21,3.345547
brazilian,35,dark,21,3.345547
brazilian,36,diferente,21,3.345547
brazilian,37,me,21,3.345547
brazilian,38,gostei,20,3.186235
brazilian,39,pouco,20,3.186235
brazilian,40,monster,19,3.026924
brazilian,41,aqui,19,3.026924
brazilian,42,vezes,18,2.867612
brazilian,43,depois,18,2.867612
brazilian,44,2d,17,2.7083
brazilian,45,hunter,17,2.7083
brazilian,46,porém,17,2.7083
brazilian,47,pelo,17,2.7083
brazilian,48,cada,17,2.7083
brazilian,49,armas,17,2.7083
brazilian,50,sistema,17,2.7083
brazilian,51,divertido,16,2.548988
brazilian,52,legal,16,2.548988
brazilian,53,pois,16,2.548988
brazilian,54,h3,16,2.548988
brazilian,55,monstros,16,2.548988
brazilian,56,coisas,15,2.389677
brazilian,57,assim,15,2.389677
brazilian,58,diferentes,15,2.389677
brazilian,59,anterior,15,2.389677
brazilian,60,igual,15,2.389677
brazilian,61,já,14,2.230365
brazilian,62,boa,14,2.230365
brazilian,63,também,14,2.230365
brazilian,64,dano,14,2.230365
brazilian,65,horas,14,2.230365
brazilian,66,chefes,13,2.071053
brazilian,67,outro,13,2.071053
brazilian,68,tão,13,2.071053
brazilian,69,todos,13,2.071053
brazilian,70,está,13,2.071053
brazilian,71,is,13,2.071053
brazilian,72,menos,12,1.911741
brazilian,73,acho,12,1.911741
brazilian,74,era,12,1.911741
brazilian,75,nada,12,1.911741
brazilian,76,fazer,12,1.911741
brazilian,77,fica,12,1.911741
brazilian,78,quando,12,1.911741
brazilian,79,quase,12,1.911741
brazilian,80,boss,12,1.911741
brazilian,81,ficar,12,1.911741
brazilian,82,mago,12,1.911741
brazilian,83,achei,12,1.911741
brazilian,84,hr,12,1.911741
brazilian,85,agora,12,1.911741
brazilian,86,então,11,1.75243
brazilian,87,lá,11,1.75243
brazilian,88,quem,11,1.75243
brazilian,89,itens,11,1.75243
brazilian,90,mundo,11,1.75243
brazilian,91,coisa,11,1.75243
brazilian,92,novo,11,1.75243
brazilian,93,mecânica,11,1.75243
brazilian,94,seja,11,1.75243
brazilian,95,bastante,11,1.75243
brazilian,96,like,11,1.75243
brazilian,97,problema,10,1.593118
brazilian,98,antecessor,10,1.593118
brazilian,99,vale,10,1.593118
brazilian,100,caça,10,1.593118
brazilian,101,entre,10,1.593118
brazilian,102,tempo,10,1.593118
brazilian,103,nos,10,1.593118
brazilian,104,pro,10,1.593118
brazilian,105,porem,10,1.593118
brazilian,106,faz,10,1.593118
brazilian,107,porque,10,1.593118
brazilian,108,muita,10,1.593118
brazilian,109,pontos,10,1.593118
brazilian,110,algumas,10,1.593118
brazilian,111,caçada,10,1.593118
brazilian,112,consegue,10,1.593118
brazilian,113,sendo,9,1.433806
brazilian,114,tinha,9,1.433806
brazilian,115,amigo,9,1.433806
brazilian,116,comprar,9,1.433806
brazilian,117,inimigos,9,1.433806
brazilian,118,caçar,9,1.433806
brazilian,119,gameplay,9,1.433806
brazilian,120,forma,9,1.433806
brazilian,121,todo,9,1.433806
