rank,trigram,frequency,relative_frequency_per_1000_trigrams
1,salt and sanctuary,125,1.36271
2,salt and sacrifice,60,0.654101
3,like monster hunter,28,0.305247
4,like salt sanctuary,20,0.218034
5,2d monster hunter,16,0.174427
6,dark souls 2d,13,0.141722
7,sequel salt sanctuary,12,0.13082
8,monster hunter dark,11,0.119918
9,hunter dark souls,11,0.119918
10,2d dark souls,11,0.119918
11,сравнению первой частью,11,0.119918
12,monster hunter style,11,0.119918
13,play salt sanctuary,10,0.109017
14,salt sanctuary it's,10,0.109017
15,souls monster hunter,10,0.109017
16,loved salt sanctuary,10,0.109017
17,the first game,10,0.109017
18,good salt sanctuary,10,0.109017
19,salt sanctuary still,9,0.098115
20,played salt sanctuary,9,0.098115
21,monster hunter 2d,8,0.087213
22,salt and santuary,8,0.087213
23,dark souls salt,8,0.087213
24,salt sanctuary like,8,0.087213
25,it's salt sanctuary,7,0.076312
26,fight each other,7,0.076312
27,que salt and,7,0.076312
28,predecessor salt sanctuary,7,0.076312
29,more like monster,7,0.076312
30,different salt sanctuary,7,0.076312
31,more monster hunter,7,0.076312
32,você tem que,7,0.076312
33,2d souls like,7,0.076312
34,https steamcommunity com,7,0.076312
35,dark souls like,6,0.06541
36,don't know what,6,0.06541
37,https store steampowered,6,0.06541
38,store steampowered com,6,0.06541
39,this game is,6,0.06541
40,salt sacrifice has,6,0.06541
41,salt sanctuary better,6,0.06541
42,love salt sanctuary,6,0.06541
43,salt sanctuary one,6,0.06541
44,shadow wizard money,6,0.06541
45,wizard money gang,6,0.06541
46,it's more like,5,0.054508
47,some monster hunter,5,0.054508
48,don't feel like,5,0.054508
49,don't know how,5,0.054508
50,mages over over,5,0.054508
