rank,token,frequency,relative_frequency_per_1000_tokens
1,like,272,7.50759
2,have,266,7.341982
3,salt,258,7.12117
4,sanctuary,232,6.403533
5,all,202,5.57549
6,one,185,5.106266
7,first,184,5.078664
8,it's,169,4.664643
9,bosses,140,3.864201
10,enemies,138,3.808998
11,boss,134,3.698592
12,even,133,3.670991
13,some,132,3.643389
14,more,123,3.394977
15,and,116,3.201766
16,good,115,3.174165
17,get,114,3.146564
18,mages,114,3.146564
19,time,113,3.118962
20,mage,109,3.008556
21,don't,103,2.842948
22,up,102,2.815346
23,only,100,2.760144
24,there,97,2.677339
25,the,92,2.539332
26,bad,91,2.511731
27,which,90,2.484129
28,out,88,2.428926
29,sacrifice,88,2.428926
30,into,86,2.373723
31,level,84,2.318521
32,monster,83,2.290919
33,fun,83,2.290919
34,what,81,2.235716
35,play,79,2.180513
36,about,79,2.180513
37,same,79,2.180513
38,too,79,2.180513
39,after,79,2.180513
40,also,78,2.152912
41,que,78,2.152912
42,when,76,2.097709
43,every,76,2.097709
44,because,75,2.070108
45,other,74,2.042506
46,make,72,1.987303
47,way,71,1.959702
48,hunter,71,1.959702
49,design,71,1.959702
50,has,70,1.9321
51,had,69,1.904499
52,most,69,1.904499
53,feel,68,1.876898
54,feels,68,1.876898
55,fight,66,1.821695
56,much,66,1.821695
57,map,64,1.766492
58,around,62,1.711289
59,still,62,1.711289
60,attacks,61,1.683688
61,down,60,1.656086
62,through,60,1.656086
63,souls,60,1.656086
64,h1,60,1.656086
65,enemy,59,1.628485
66,any,56,1.54568
67,many,54,1.490478
68,now,54,1.490478
69,while,54,1.490478
70,lot,54,1.490478
71,how,53,1.462876
72,want,53,1.462876
73,attack,53,1.462876
74,to,53,1.462876
75,combat,51,1.407673
76,back,51,1.407673
77,weapons,51,1.407673
78,things,50,1.380072
79,world,50,1.380072
80,weapon,48,1.324869
81,damage,48,1.324869
82,hit,48,1.324869
83,over,48,1.324869
84,made,47,1.297267
85,better,47,1.297267
86,это,47,1.297267
87,again,46,1.269666
88,off,44,1.214463
89,why,44,1.214463
90,where,44,1.214463
91,go,43,1.186862
92,can't,42,1.15926
93,need,42,1.15926
94,instead,42,1.15926
95,of,42,1.15926
96,know,41,1.131659
97,played,41,1.131659
98,before,41,1.131659
99,doesn't,41,1.131659
100,find,41,1.131659
101,gameplay,41,1.131659
102,kill,40,1.104057
103,use,40,1.104057
104,i'm,40,1.104057
105,love,39,1.076456
106,point,39,1.076456
107,another,39,1.076456
108,here,39,1.076456
109,actually,39,1.076456
110,system,39,1.076456
111,it,39,1.076456
112,очень,39,1.076456
113,dark,38,1.048855
114,something,38,1.048855
115,few,38,1.048855
116,almost,38,1.048855
117,there's,38,1.048855
118,enough,37,1.021253
119,getting,37,1.021253
120,hunt,37,1.021253
121,well,37,1.021253
122,is,37,1.021253
123,far,36,0.993652
124,annoying,36,0.993652
125,since,36,0.993652
126,didn't,35,0.96605
127,maybe,35,0.96605
128,having,35,0.96605
129,game,35,0.96605
130,armor,34,0.938449
131,area,34,0.938449
132,you're,34,0.938449
133,thing,34,0.938449
134,end,33,0.910847
135,new,33,0.910847
136,say,33,0.910847
137,hunting,32,0.883246
138,different,32,0.883246
139,see,32,0.883246
140,recommend,32,0.883246
141,start,32,0.883246
142,spoiler,32,0.883246
143,who,31,0.855644
144,chase,31,0.855644
145,areas,31,0.855644
146,each,31,0.855644
147,nothing,31,0.855644
148,локации,31,0.855644
149,in,31,0.855644
150,trying,30,0.828043
151,times,30,0.828043
152,i've,30,0.828043
153,never,30,0.828043
154,everything,30,0.828043
155,either,29,0.800442
156,got,29,0.800442
157,fighting,29,0.800442
158,fights,29,0.800442
159,big,29,0.800442
160,frustrating,29,0.800442
161,wanted,29,0.800442
162,skill,29,0.800442
163,issue,29,0.800442
164,experience,29,0.800442
165,makes,28,0.77284
166,two,28,0.77284
167,final,28,0.77284
168,less,28,0.77284
169,already,28,0.77284
170,that,28,0.77284
171,teleport,28,0.77284
172,style,27,0.745239
173,worse,27,0.745239
174,death,27,0.745239
175,dodge,27,0.745239
176,felt,27,0.745239
177,though,27,0.745239
178,think,27,0.745239
179,sequel,27,0.745239
180,completely,26,0.717637
181,right,26,0.717637
182,give,26,0.717637
183,exploration,26,0.717637
184,bit,26,0.717637
185,great,26,0.717637
186,both,26,0.717637
187,loved,26,0.717637
188,2d,26,0.717637
189,especially,26,0.717637
190,review,26,0.717637
191,reason,25,0.690036
192,easy,25,0.690036
193,idea,25,0.690036
194,первой,25,0.690036
195,cool,25,0.690036
196,boring,25,0.690036
197,away,25,0.690036
198,multiplayer,25,0.690036
199,hub,25,0.690036
200,heavy,24,0.662434
