rank,token,frequency,relative_frequency_per_1000_tokens
1,salt,788,8.286363
2,sanctuary,715,7.518718
3,like,692,7.276857
4,have,606,6.372508
5,it's,504,5.299907
6,one,450,4.73206
7,all,433,4.553294
8,more,428,4.500715
9,first,418,4.395558
10,good,389,4.090603
11,mages,354,3.722554
12,fun,351,3.691007
13,que,351,3.691007
14,some,349,3.669976
15,get,343,3.606881
16,bosses,337,3.543787
17,and,316,3.322958
18,boss,304,3.19677
19,mage,292,3.070581
20,there,287,3.018003
21,sacrifice,279,2.933877
22,monster,273,2.870783
23,even,265,2.786658
24,enemies,258,2.713048
25,don't,249,2.618407
26,souls,247,2.597375
27,time,246,2.58686
28,hunter,244,2.565828
29,up,236,2.481703
30,which,229,2.408093
31,much,226,2.376546
32,still,222,2.334483
33,also,219,2.302936
34,has,212,2.229326
35,what,212,2.229326
36,only,210,2.208295
37,out,208,2.187263
38,weapons,208,2.187263
39,other,206,2.166232
40,play,202,2.124169
41,into,195,2.050559
42,lot,193,2.029528
43,the,193,2.029528
44,when,189,1.987465
45,same,189,1.987465
46,because,189,1.987465
47,too,181,1.90334
48,different,181,1.90334
49,while,178,1.871793
50,bad,176,1.850761
51,about,172,1.808699
52,dark,170,1.787667
53,better,170,1.787667
54,way,170,1.787667
55,feel,168,1.766636
56,after,167,1.75612
57,most,160,1.68251
58,combat,159,1.671995
59,gameplay,153,1.6089
60,feels,152,1.598385
61,level,151,1.587869
62,make,147,1.545806
63,new,146,1.535291
64,great,141,1.482712
65,had,138,1.451165
66,world,137,1.440649
67,map,137,1.440649
68,played,135,1.419618
69,fight,135,1.419618
70,love,133,1.398587
71,design,133,1.398587
72,around,132,1.388071
73,every,132,1.388071
74,2d,132,1.388071
75,to,131,1.377555
76,i'm,130,1.36704
77,weapon,129,1.356524
78,through,129,1.356524
79,how,125,1.314461
80,well,122,1.282914
81,many,121,1.272398
82,where,121,1.272398
83,down,120,1.261883
84,think,118,1.240851
85,armor,116,1.21982
86,go,115,1.209304
87,attack,115,1.209304
88,game,115,1.209304
89,now,114,1.198789
90,это,114,1.198789
91,enough,113,1.188273
92,people,111,1.167242
93,want,110,1.156726
94,things,110,1.156726
95,each,110,1.156726
96,h1,110,1.156726
97,damage,109,1.14621
98,you're,107,1.125179
99,pretty,107,1.125179
100,any,106,1.114663
101,back,104,1.093632
102,there's,103,1.083116
103,multiplayer,103,1.083116
104,enemy,102,1.0726
105,attacks,102,1.0726
106,say,102,1.0726
107,find,101,1.062085
108,here,101,1.062085
109,having,100,1.051569
110,hunt,99,1.041053
111,use,99,1.041053
112,bit,98,1.030538
113,over,98,1.030538
114,experience,98,1.030538
115,something,96,1.009506
116,playing,95,0.99899
117,before,95,0.99899
118,hit,95,0.99899
119,system,95,0.99899
120,você,95,0.99899
121,far,93,0.977959
122,it,93,0.977959
123,off,92,0.967443
124,kill,92,0.967443
125,need,90,0.946412
126,actually,90,0.946412
127,few,89,0.935896
128,recommend,89,0.935896
129,of,89,0.935896
130,made,88,0.925381
131,another,88,0.925381
132,is,88,0.925381
133,know,86,0.904349
134,why,86,0.904349
135,area,86,0.904349
136,though,86,0.904349
137,who,85,0.893834
138,see,85,0.893834
139,getting,84,0.883318
140,give,84,0.883318
141,story,84,0.883318
142,magos,84,0.883318
143,especially,84,0.883318
144,doesn't,83,0.872802
145,areas,83,0.872802
146,thing,83,0.872802
147,sequel,83,0.872802
148,i've,82,0.862287
149,end,81,0.851771
150,two,81,0.851771
151,metroidvania,81,0.851771
152,isn't,80,0.841255
153,again,80,0.841255
154,co-op,80,0.841255
155,instead,79,0.830739
156,hunting,78,0.820224
157,overall,78,0.820224
158,both,78,0.820224
159,can't,77,0.809708
160,got,75,0.788677
161,times,75,0.788677
162,since,75,0.788677
163,первой,75,0.788677
164,soulslike,75,0.788677
165,style,73,0.767645
166,didn't,73,0.767645
167,reviews,73,0.767645
168,annoying,73,0.767645
169,items,73,0.767645
170,tem,72,0.75713
171,exploration,71,0.746614
172,fights,71,0.746614
173,little,71,0.746614
174,souls-like,71,0.746614
175,heavy,70,0.736098
176,try,70,0.736098
177,quite,70,0.736098
178,cool,69,0.725583
179,makes,68,0.715067
180,going,68,0.715067
181,you'll,68,0.715067
182,big,68,0.715067
183,worth,68,0.715067
184,spoiler,68,0.715067
185,once,67,0.704551
186,skill,67,0.704551
187,own,67,0.704551
188,steam,67,0.704551
189,point,66,0.694036
190,less,66,0.694036
191,that's,66,0.694036
192,either,65,0.68352
193,you,65,0.68352
194,primeiro,65,0.68352
195,player,65,0.68352
196,fighting,64,0.673004
197,hunts,64,0.673004
198,очень,64,0.673004
199,mechanics,63,0.662488
200,build,63,0.662488
