rank,token,frequency,relative_frequency_per_1000_tokens
1,salt,530,9.003499
2,sanctuary,483,8.205076
3,like,420,7.134849
4,have,340,5.77583
5,it's,335,5.690891
6,more,305,5.181259
7,good,274,4.654639
8,que,273,4.637652
9,fun,268,4.552713
10,one,265,4.50175
11,mages,240,4.077056
12,first,234,3.97513
13,all,231,3.924167
14,get,229,3.890191
15,some,217,3.686338
16,and,200,3.397547
17,bosses,197,3.346584
18,sacrifice,191,3.244657
19,there,190,3.22767
20,monster,190,3.22767
21,souls,187,3.176706
22,mage,183,3.108755
23,hunter,173,2.938878
24,boss,170,2.887915
25,much,160,2.718038
26,still,160,2.718038
27,weapons,157,2.667074
28,different,149,2.531172
29,don't,146,2.480209
30,has,142,2.412258
31,also,141,2.395271
32,lot,139,2.361295
33,which,139,2.361295
34,up,134,2.276356
35,time,133,2.259369
36,other,132,2.242381
37,even,132,2.242381
38,dark,132,2.242381
39,what,131,2.225393
40,while,124,2.106479
41,better,123,2.089491
42,play,123,2.089491
43,enemies,120,2.038528
44,out,120,2.038528
45,great,115,1.95359
46,because,114,1.936602
47,when,113,1.919614
48,new,113,1.919614
49,gameplay,112,1.902626
50,same,110,1.868651
51,only,110,1.868651
52,into,109,1.851663
53,combat,108,1.834675
54,2d,106,1.8007
55,too,102,1.732749
56,the,101,1.715761
57,feel,100,1.698773
58,way,99,1.681786
59,people,98,1.664798
60,love,94,1.596847
61,played,94,1.596847
62,about,93,1.579859
63,pretty,92,1.562872
64,think,91,1.545884
65,most,91,1.545884
66,i'm,90,1.528896
67,after,88,1.494921
68,world,87,1.477933
69,well,85,1.443957
70,bad,85,1.443957
71,feels,84,1.42697
72,armor,82,1.392994
73,weapon,81,1.376007
74,game,80,1.359019
75,each,79,1.342031
76,multiplayer,78,1.325043
77,to,78,1.325043
78,where,77,1.308056
79,enough,76,1.291068
80,make,75,1.27408
81,map,73,1.240105
82,you're,73,1.240105
83,playing,73,1.240105
84,bit,72,1.223117
85,how,72,1.223117
86,go,72,1.223117
87,co-op,72,1.223117
88,você,72,1.223117
89,magos,71,1.206129
90,around,70,1.189141
91,fight,69,1.172154
92,say,69,1.172154
93,had,69,1.172154
94,through,69,1.172154
95,experience,69,1.172154
96,many,67,1.138178
97,level,67,1.138178
98,это,67,1.138178
99,there's,65,1.104203
100,having,65,1.104203
101,isn't,63,1.070227
102,overall,63,1.070227
103,attack,62,1.05324
104,here,62,1.05324
105,design,62,1.05324
106,hunt,62,1.05324
107,damage,61,1.036252
108,metroidvania,61,1.036252
109,things,60,1.019264
110,now,60,1.019264
111,story,60,1.019264
112,find,60,1.019264
113,down,60,1.019264
114,use,59,1.002276
115,though,59,1.002276
116,give,58,0.985289
117,something,58,0.985289
118,especially,58,0.985289
119,soulslike,58,0.985289
120,tem,58,0.985289
121,recommend,57,0.968301
122,reviews,57,0.968301
123,want,57,0.968301
124,far,57,0.968301
125,system,56,0.951313
126,bom,56,0.951313
127,items,56,0.951313
128,every,56,0.951313
129,sequel,56,0.951313
130,who,54,0.917338
131,it,54,0.917338
132,before,54,0.917338
133,two,53,0.90035
134,see,53,0.90035
135,back,53,0.90035
136,primeiro,53,0.90035
137,area,52,0.883362
138,areas,52,0.883362
139,both,52,0.883362
140,kill,52,0.883362
141,i've,52,0.883362
142,build,51,0.866374
143,few,51,0.866374
144,actually,51,0.866374
145,nice,51,0.866374
146,is,51,0.866374
147,you'll,51,0.866374
148,little,50,0.849387
149,over,50,0.849387
150,any,50,0.849387
151,первой,50,0.849387
152,souls-like,50,0.849387
153,h1,50,0.849387
154,thing,49,0.832399
155,another,49,0.832399
156,steam,49,0.832399
157,need,48,0.815411
158,end,48,0.815411
159,off,48,0.815411
160,hunts,47,0.798424
161,try,47,0.798424
162,getting,47,0.798424
163,of,47,0.798424
164,quite,47,0.798424
165,hit,47,0.798424
166,got,46,0.781436
167,hunting,46,0.781436
168,heavy,46,0.781436
169,worth,46,0.781436
170,style,46,0.781436
171,части,45,0.764448
172,know,45,0.764448
173,mechanics,45,0.764448
174,exploration,45,0.764448
175,times,45,0.764448
176,есть,45,0.764448
177,epic,44,0.74746
178,going,44,0.74746
179,cool,44,0.74746
180,own,44,0.74746
181,pra,44,0.74746
182,player,44,0.74746
183,de,43,0.730473
184,that's,43,0.730473
185,once,43,0.730473
186,enemy,43,0.730473
187,esse,43,0.730473
188,why,42,0.713485
189,doesn't,42,0.713485
190,fights,42,0.713485
191,players,42,0.713485
192,coop,42,0.713485
193,можно,42,0.713485
194,attacks,41,0.696497
195,said,41,0.696497
196,made,41,0.696497
197,definitely,41,0.696497
198,you,41,0.696497
199,como,41,0.696497
200,makes,40,0.679509
