review_created_year_month,review_count,total_tokens,theme_match_count_total,difficulty_mean_count,difficulty_mean_per_100_tokens,difficulty_review_share,combat_mean_count,combat_mean_per_100_tokens,combat_review_share,bosses_mean_count,bosses_mean_per_100_tokens,bosses_review_share,exploration_mean_count,exploration_mean_per_100_tokens,exploration_review_share,story_mean_count,story_mean_per_100_tokens,story_review_share,worldbuilding_mean_count,worldbuilding_mean_per_100_tokens,worldbuilding_review_share,music_audio_mean_count,music_audio_mean_per_100_tokens,music_audio_review_share,graphics_visuals_mean_count,graphics_visuals_mean_per_100_tokens,graphics_visuals_review_share,performance_technical_mean_count,performance_technical_mean_per_100_tokens,performance_technical_review_share,controls_gamefeel_mean_count,controls_gamefeel_mean_per_100_tokens,controls_gamefeel_review_share,replayability_builds_mean_count,replayability_builds_mean_per_100_tokens,replayability_builds_review_share,price_value_mean_count,price_value_mean_per_100_tokens,price_value_review_share,bugs_issues_mean_count,bugs_issues_mean_per_100_tokens,bugs_issues_review_share
2023-11,177,15131,871,0.265537,0.56061,16.9492,1.723164,0.943353,33.3333,0.762712,0.64857,27.6836,0.661017,0.484281,27.6836,0.169492,0.106601,9.6045,0.056497,0.042632,5.6497,0.056497,0.200331,4.5198,0.418079,0.358981,15.8192,0.073446,0.048632,5.0847,0.073446,0.038696,3.9548,0.259887,0.29211,12.9944,0.129944,0.23539,7.9096,0.271186,0.422615,12.9944
2023-12,50,2962,166,0.16,0.189626,12.0,0.94,0.948902,34.0,0.68,1.12441,34.0,0.46,0.89815,30.0,0.3,0.333322,16.0,0.02,0.025974,2.0,0.04,0.068182,4.0,0.16,0.447241,10.0,0.02,0.025641,2.0,0.0,0.0,0.0,0.16,0.15799,14.0,0.2,0.470903,14.0,0.18,0.199448,12.0
2024-01,38,4681,262,0.184211,0.225715,15.7895,2.421053,1.675767,47.3684,1.052632,0.614498,39.4737,0.894737,0.589038,36.8421,0.394737,0.591553,21.0526,0.052632,0.011586,5.2632,0.210526,0.118799,10.5263,0.684211,0.415517,26.3158,0.052632,0.012341,5.2632,0.157895,0.040258,5.2632,0.315789,0.170082,18.4211,0.131579,0.098703,13.1579,0.342105,0.10431,21.0526
2024-02,7,293,14,0.0,0.0,0.0,0.571429,0.753983,42.8571,0.714286,0.9261,42.8571,0.285714,2.571429,28.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.172117,14.2857,0.0,0.0,0.0,0.142857,0.172117,14.2857,0.142857,0.274725,14.2857
2024-03,34,3328,225,0.323529,0.283644,17.6471,2.294118,1.20563,47.0588,1.264706,1.30229,47.0588,0.764706,0.491973,35.2941,0.323529,0.25524,17.6471,0.029412,0.010975,2.9412,0.147059,0.061213,8.8235,0.264706,0.186137,20.5882,0.117647,0.076894,2.9412,0.117647,0.079188,8.8235,0.411765,0.239987,29.4118,0.264706,0.469198,14.7059,0.294118,0.22166,20.5882
2024-04,16,812,49,0.0,0.0,0.0,0.6875,1.292368,31.25,1.0,1.671776,37.5,0.5625,0.762894,31.25,0.0625,0.15625,6.25,0.0,0.0,0.0,0.0625,0.15625,6.25,0.125,0.257056,12.5,0.0625,0.271739,6.25,0.125,0.212174,12.5,0.125,0.072254,6.25,0.1875,0.455858,18.75,0.0625,1.5625,6.25
2024-05,55,4657,314,0.236364,0.164621,14.5455,2.090909,1.438124,41.8182,0.672727,0.891977,30.9091,0.745455,0.552941,30.9091,0.581818,0.371494,23.6364,0.036364,0.016525,3.6364,0.109091,0.134267,7.2727,0.363636,0.395362,23.6364,0.0,0.0,0.0,0.127273,0.096881,9.0909,0.363636,0.304653,21.8182,0.290909,0.263566,20.0,0.090909,0.13049,9.0909
2024-06,13,315,9,0.076923,0.192308,7.6923,0.076923,0.064641,7.6923,0.076923,0.452489,7.6923,0.230769,0.726496,23.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.064641,7.6923,0.0,0.0,0.0,0.076923,0.064641,7.6923,0.076923,0.192308,7.6923,0.0,0.0,0.0,0.0,0.0,0.0
2024-07,30,1675,88,0.1,0.944552,10.0,0.866667,0.77744,30.0,0.3,0.427595,23.3333,0.733333,1.742442,30.0,0.066667,0.145658,6.6667,0.033333,0.012531,3.3333,0.0,0.0,0.0,0.3,0.177974,13.3333,0.033333,0.01287,3.3333,0.066667,0.090389,6.6667,0.033333,0.012531,3.3333,0.1,3.48717,10.0,0.3,0.662965,13.3333
2024-08,18,1233,88,0.166667,0.114155,5.5556,1.833333,2.098404,50.0,1.166667,1.083856,33.3333,0.611111,0.430451,27.7778,0.5,0.560749,33.3333,0.055556,0.038052,5.5556,0.0,0.0,0.0,0.222222,0.321255,11.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.127072,11.1111,0.055556,0.054466,5.5556,0.111111,0.217865,5.5556
